단어,불용어,dff
느껴짐.,,
간장베이스,,
냠냠굿,,
지인추천으로,,
할때마다,,
먹어보네요,,
크크크소스를,,
찡짱,,
빠르고...,,
맛이없네요.,,
드셨다네요,,
고추장맛,,
조아하는데,,
상태를,,
내고,,
랑,,
났지만,,
살아서,,
와우~,,
자꾸생각나는,,
나온지는,,
이해는,,
수정이,,
않을까요?,,
asmr,,
왔어요;;,,
많이파세요~!,,
느끼한맛이,,
아니에요.,,
소스들이랑,,
다좋고,,
소스없이,,
바르는,,
"바싹하고,",,
매콤해,,
먹기좋고,,
처음시키는데,,
없이는,,
아닐,,
반반메뉴에,,
오로지,,
소금은,,
작네요..,,
호랑이맛이,,
많았습니다.,,
잘들어주셔서,,
달지않아서,,
비어보이지만,,
가미된,,
훨~~~~씬,,
생각해서,,
bbb,,
아쉬웠습니다만,,
너무좋아서,,
먹을때부터,,
매콤달콤하니,,
인정합니다.,,
"첫주문인데,",,
통닭이,,
장,,
다르지만,,
찾기가,,
했어요...,,
코를,,
조각내서,,
비닐안에,,
깔끔한맛!!,,
양념때문인지,,
적당,,
드셨어요!,,
되는건가요?,,
너무너무맛있어요,,
먹을거예요,,
배부른데도,,
늦는거,,
광고만큼,,
맛있어영!,,
핫도그는,,
ㅋㅋㅋ역시,,
집근처라,,
주문해봣는데,,
감사했어요^^,,
받긴,,
짜긴했는데,,
알았습니다,,
방송에,,
어르신들,,
부담이,,
먹었는,,
1점,,
맛보는,,
달큰한,,
tastes,,
안걸려서,,
한입씩,,
평가,,
그저그랫어요,,
먹어보았습니다.,,
먹어야겠어요.,,
느낌이였습니다.,,
맛있었어요ㅋㅋㅋ,,
육십계.,,
느껴요,,
제일로,,
맛있었어요~~~~,,
있지,,
없더라구요ㅜㅜ,,
잇음,,
튀겨진게,,
않네요~~,,
시켰더니만,,
불친절해서,,
윤기,,
즐겨먹습니다.,,
배달속도도,,
안아서,,
빠삭이,,
먹는다,,
맵지가,,
60계...,,
최고였습니다!,,
시켜먹는거,,
~~~!,,
있나,,
세다는,,
어디까지나,,
꼬옥,,
간지먹고,,
잘먹었습니닷,,
씹혀요,,
맛잇습니당,,
탈,,
착하셔서,,
씁니다,,
애용하는데,,
??,,
먹을꺼,,
엄청맵네요,,
없는건가요?,,
ㄱㅊ네요,,
전혀없음,,
닭봉도,,
버금가는,,
치킨진짜,,
맛있군요.,,
보통인듯,,
뭉쳐있고,,
시켰어요~~,,
시켜먹어봐야,,
맛있게잘먹어서요배달두빨라서좋아요,,
리뷰을,,
30분에,,
묻혀서,,
후라이드인데도,,
고추순살,,
살아있어,,
먹었습니다ㅋㅋ,,
맛들도,,
먹튀가,,
철산점,,
깜놀!!,,
따숩게,,
며칠전부터,,
먹어봐야겠어요!,,
저녁시간대라,,
구웃,,
철산점에서만,,
지대로,,
뒷,,
직원들과,,
맛일지,,
있어요...,,
최고입니다~^^,,
사랑에,,
맛이에요~,,
것으로,,
"간지,고추",,
????????????,,
그런가요?,,
뭐죠,,
#60계치킨,,
#호랑이치킨,,
미니달력도,,
감동입니다,,
시켜봤어요~~,,
걸로,,
과하지,,
시켜야겠어요!!,,
접해봤는데,,
맛있어요♡♡♡♡♡,,
뻔,,
처리,,
적절해서,,
매콤한맛은,,
푹빠졌습니다,,
한개,,
만점!,,
병아리,,
까먹을,,
다리6개,,
해제,,
깔끔해용,,
않았으면,,
있었네요.,,
틀리네요,,
크리스피가,,
느낌이였어요,,
아쉬워요...,,
고추봉으로,,
오류로,,
안내가,,
오오,,
맛있오요,,
맛있을거같아요,,
주문할게여,,
거랑은,,
먹는데도,,
후라이드인데,,
단연,,
아쥬,,
맛있게잘먹었어요.,,
시그니처,,
안묻어있고,,
맛있네요.!,,
딱딱하지,,
간지치킨이죠,,
시켜먹었고,,
양념치킨맛은,,
오랜만의,,
조아조아,,
예상외로,,
추가되면,,
사용하는지,,
자기는,,
확인차,,
옷도,,
찍었네요~,,
받았을때,,
별을,,
나왔길래,,
별로였고,,
거죠?,,
사장님~~,,
맛있었습니다~~^^,,
지난번은,,
되나요?,,
문자와서,,
그것빼곤,,
인간적으로,,
해주는,,
웻지감자도,,
뼈있는거로,,
딱딱해용,,
설명을,,
장사하고,,
들렸다,,
2주에,,
좋으니,,
써주시면,,
장스치킨에,,
너무맛잇어요~~,,
치킨들중에,,
넘도록,,
가격만,,
메뉴에는,,
60계와,,
부드럽고~,,
친킨,,
주문하려고요,,
잘먹었어요~!,,
질겨요.,,
이런건지,,
35분만에,,
걸렸습니다..,,
신랑과,,
반입니다.,,
편차가,,
먹어보자해서,,
조금있는데,,
맵대요,,
다른메뉴로,,
별로였음.,,
어렵네요,,
시킨줄,,
자체의,,
삼박자가,,
잘왔고,,
달콤짭짤하고,,
감자들이,,
보기에도,,
덜하네요..,,
맛있었어욥!,,
시켰어요!!,,
카레맛,,
생일이라,,
하루를,,
6번,,
계산해서,,
묘하게,,
짜파치킨이,,
일부가,,
아쉽네요!,,
도착..,,
그제서야,,
다른지점보다는,,
드네요ㅠㅠ,,
추천!!!,,
메이플시럽이랑,,
맛있었다,,
시켜달라해서,,
고추치킨맛있어요,,
속상하네요.,,
개느림,,
잘오고,,
맞았어요!,,
뺀건,,
어플이,,
버무려지지,,
섞은,,
월계점은,,
친절하시네요.,,
아쉬웠던,,
군데군데,,
남긴적은,,
먹었을때랑,,
물렁한,,
눅눅하고...,,
너~~~~~~~~~무,,
"남기는데,",,
단짠단짠에,,
"맛인데,",,
시켜먹었을,,
손편지도,,
아랫부분,,
후라이드까지,,
시켜먹으려고요!,,
쓰다보니,,
놀랬습니다,,
많은분들이,,
안와요,,
1층에,,
오래걸리는,,
변했어요,,
70분만에,,
8시30분,,
걸렸어요!,,
전화하면,,
수요일,,
걸렸어요..,,
잡아서,,
느낌이지만,,
실망스럽네요.,,
ㅇㅇㅇ,,
맛이..,,
다네요.,,
늦게옴,,
맛집~,,
"그리고,",,
최애치킨입니다,,
오래걸리긴했지만,,
찾기,,
주시길,,
어렵게,,
가까운곳에,,
쪽지도,,
나니,,
홀랑,,
기름지지,,
할머니가,,
친절하시네여,,
사업번창하세여,,
축구때문에,,
싱거운듯,,
퍽퍽함이,,
hhhhhh,,
노릇하게,,
다먹어,,
♡.♡,,
시킨것도,,
치즈볼로,,
주문..,,
요즘엔,,
무와,,
찾게되는,,
자꾸만,,
많았네요,,
짐빔,,
매콤하네요.,,
시간만에,,
가네요.,,
바삭하고...,,
느립니다.,,
머것습니다,,
집앞,,
주문하였는데,,
쓰시는게,,
감사히잘먹었습니다,,
실망했습니다..,,
is,,
완전맛있게,,
고추마요도,,
주문~,,
적당이,,
맛있어요~떡볶이,,
없구,,
답니다,,
단짠단짠~,,
좋아요~~~^^,,
짰어요.,,
냄새나서,,
해주셨고,,
먹었습니당^^,,
찍어도,,
후회안해요,,
남으면,,
함께!!,,
맛이라며,,
민감해서,,
딱맞게,,
맛도없고,,
튀기기,,
여기도,,
해야겠어요.,,
좋아하는데...,,
두드려서,,
고추콤보가,,
뒤로,,
기가막히네요,,
부드러워요.,,
아주친절하게,,
대해주셔서,,
호랑이.,,
더맛있고,,
모르겠다.,,
시킨거지,,
이거로,,
너무맛있어요~~~,,
좋겠고,,
원하던,,
청양,,
내외로,,
쫀맛탱,,
웨지감자양이,,
닭튀김은,,
잘어울려요!!,,
양념들이,,
시킬거같아요!,,
그걸로,,
하다고,,
그리울,,
위주로,,
고민해,,
다른치킨에,,
조각나,,
인정!,,
맵찔이가,,
걸리네요ㅠ,,
맛나게잘먹었어요,,
반반치킨은,,
안찍어,,
시키진,,
자체에요,,
먹음직스럽진,,
의향있어요,,
맛잇어요~~~~~,,
부탁드린,,
아침,,
닭똥집이랑,,
들어갔는지,,
순살시키지마세요,,
윙이나,,
먹겠습니다!!,,
낭낭하게,,
ㅜㅜㅜㅜㅜ,,
지인들이,,
나눠져,,
없어요!,,
감사드려요!,,
더더더,,
치킨도바삭하고,,
천원이,,
개가,,
콘치즈,,
먹을께요~,,
비오는데도,,
쫄면이,,
맛있어요!!!!!!!!!!,,
맛있서요.,,
있습니다~^^,,
안남아서,,
아래쪽에,,
쏘스넉넉하게,,
묻혀주셔서,,
먹어봐야겠네요,,
사진찍고,,
리뷰이벤트를,,
바삭하네요~,,
한강,,
2개를,,
망원점이,,
쎄서,,
적절하고,,
저녁에도,,
추가된,,
먹는중,,
속상합니다,,
시대에,,
맛났는데,,
실망했습니다,,
홍제점,,
홍제홍은점에서,,
최소주문금액이,,
홍제홍은점,,
중박은,,
마니아인데,,
메모를,,
안됐네요,,
아이들때문에,,
코로나경제,,
맛집입니다~!,,
같은건,,
생긴거,,
성수점,,
문정점,,
오목교점,,
문래점,,
응암점,,
??,,
5개는,,
너무많네요,,
뿌*클,,
ㄷㄷㄷㄷ,,
밋있네요,,
잘왔어요,,
곳!,,
??????????????????????,,
먹는거보다,,
납니다.,,
조카에게,,
15조각,,
없어졌네요.,,
고민하지,,
예정시간이,,
장스치킨!!,,
최애입니다.,,
못먹었어요,,
주문가능한,,
반반도,,
귀엽네요.,,
매콤달콤하고,,
아이둘이,,
역쉬나,,
두꺼운듯,,
아이한테,,
시킬거같아요.,,
아삭,,
강남에서,,
먹엇습니다~,,
품질이,,
튀겨졌는지,,
양념반반,,
"단,",,
짜파치킨을,,
"치킨,치즈볼",,
좋아라하는,,
좋아요~~^^,,
반신반의로,,
기분이네요,,
존맛인데,,
깔끔한거,,
제시간,,
낫네요.,,
다른치킨보다,,
아무도,,
주지,,
왔어요ㅠㅠ,,
15분뒤에,,
깔끔합니다.,,
!!!!!!!,,
고추치킨시켰는데,,
순살간지는,,
달아요..,,
봉이나,,
준비를,,
빠지는게,,
상자만,,
신청했더니,,
보내주셨는데,,
간지치킨~~,,
재주문인데,,
세상에서,,
추천합니다!!,,
쩝..,,
드리니,,
쎄네요,,
길게,,
잇는데,,
먹어야겠어요!,,
맛도있고요,,
사장님ㅠㅠ,,
안식고,,
매움이,,
좋아하심,,
고추간지,,
쓰시는것,,
존맛탱!!!,,
없고..,,
사랑해서,,
버무려져서,,
2개밖에,,
마요네스,,
치킨한마리,,
시켜먹어요!,,
콘칩,,
들어요^^,,
시키세요,,
뻣뻣해서,,
개포점에서,,
시켰었는데,,
최고네요~~,,
잘먹어요^^,,
추가할,,
상품,,
를,,
싱싱,,
좋아하시네요~,,
배달해주셔,,
개포점,,
단골입니다!,,
맛있었구요.,,
바삭히고,,
디게,,
떡볶이를,,
떡볶이에,,
배달해주시고,,
4명이,,
뼈는,,
결제해서,,
바꿔서,,
신경써주셔서,,
고추치킨이라고,,
넘맛있어서,,
먹었습니다~!!!!,,
맵네요..,,
배달지역이,,
최곱니다!,,
앱에서,,
옴..,,
자극적이라,,
넘맛있었어요,,
치킨소스가,,
금욜,,
영자언니가,,
매콤바삭,,
갈릭후레이크가,,
단골이어서,,
실해서,,
두껍지만,,
배달상태가,,
분에게,,
역대급으로,,
신경써,,
에어프라이어에,,
??????????????????????,,
괜찮아서,,
힘들었네요.,,
다좋은데,,
없었음,,
시키는건데,,
맛과양은,,
유명한지,,
존맛입니다..,,
간장소스와,,
먹어요~~^^,,
이번주에,,
느낌이에요~,,
배달료는,,
실망하지,,
맛있게잘먹었습니다~~~,,
그런대로,,
골라먹는맛,,
있어요:),,
쓴맛이,,
그런게,,
ㅜㅜㅜ,,
맞아요~,,
픽업하러,,
아까운,,
어느덧,,
먹자니,,
광고로,,
꼭!!,,
모으는,,
잘먹었습니다~~!,,
억었어요,,
넘맛있네요,,
맛있슴,,
양많음,,
찍게되었네요,,
강추~~~,,
7장,,
예정입니다.,,
원픽,,
모으고,,
잘먹었습니당!!,,
통째로,,
준비해,,
익스프레스보다,,
~~~~^^,,
바삭하여,,
살로,,
치맥은,,
호랑이치킨~,,
주마다,,
광고만큼이나,,
딸도,,
한번씩은,,
최애치킨이에요,,
먹어요~!,,
치킨이었습니다.,,
지인에게,,
60계에선,,
늘어나고,,
배송좋고,,
조아하는,,
아들을,,
갓튀겨서,,
힘들어서,,
사이,,
맞다면,,
세지,,
실수,,
아끼지,,
달달매콤해서,,
바꿔주셔서,,
맛잇대요,,
깜놀,,
예상했는데,,
도움이,,
또한번,,
축축하고,,
전날,,
소금이,,
메이플시럽,,
먹고서,,
많이해서,,
어우려져서,,
느낌이네요.,,
걸릴,,
안두시고,,
추천드려요.,,
찾아보니,,
와야,,
드셔보시길,,
맵지안고,,
부들부들,,
없고...,,
좋을듯요,,
눅눅해진게,,
배딜도,,
사는,,
짜증나,,
편이니,,
배고픈,,
퍼펙트,,
완료가,,
배달됐고,,
감동적으로,,
세가지라,,
느껴졌습니다!,,
던지고,,
안해주셔서,,
붙어있는,,
바삭했어요!,,
500ml,,
보구,,
한강공원에서,,
맛집은,,
겁니다,,
맛있었어용~~~~~,,
간장맛이랑,,
닭들,,
배달해주실때,,
문자달라고,,
불쾌해서,,
넣어주셨네요.,,
이곳이,,
순살인줄,,
바뀌었는지,,
되었지만,,
조합.,,
포장부터,,
70분에,,
15분이,,
경기,,
맞춰와서,,
왓어요,,
넣어주셨고,,
치킨임에도,,
덕분인지,,
문고리에,,
배달기사분,,
"포장,",,
합니다.^^,,
먹는편인데,,
부스러기도,,
감사합니다!!!!!,,
혼자먹기에,,
양이많아요,,
좋긴한데,,
전화드렸더니,,
쉽지,,
좋습니다~^^,,
양많아요,,
추가주문한,,
배달완료까지,,
시켜드세요~,,
정말맛있어요!!,,
맛있어요!!??,,
맛있더라구요!!,,
시킬게욤,,
압구정점은,,
"처음인데,",,
년간,,
(순살,,
먹기바빠서,,
튀김이랑,,
싶었지만,,
고맙습니다!,,
지지,,
아깝지만,,
다를수,,
네번째,,
재주문할게요.,,
된거,,
요구사항,,
요청하면,,
주시구,,
습한,,
먹었습니딘,,
강하네요.,,
역시다!,,
보통맛,,
친절하세요^^,,
밍밍한,,
존맛!,,
밑으로,,
컸던,,
실망도,,
컸습니다,,
최고~~~!,,
선택!,,
충분해요.,,
말라있고,,
지점중에,,
간장치킨도,,
눈물콧물흘리며,,
호텔에서,,
너어어어어무,,
단데,,
먹엇어요.,,
1시간이상,,
후라이드윙봉이,,
2시에,,
배딜,,
들어주셨어요,,
색다르네요.,,
존맛탱구리구리,,
아니어도,,
만족했습니다!,,
못찾아서,,
연휴인데도,,
바삭한것도,,
열려서,,
맛잇다,,
맛잇어요!!!!,,
먹었어유,,
할인으로,,
강츄,,
찍어먹어봤는데,,
예전부터,,
후라이치킨,,
또다른,,
물면,,
대만족입니당,,
시간대에,,
^_^,,
넘마싯어요,,
그냥먹었는데,,
사진속,,
적어여,,
치킨입니당,,
교촌이,,
다른집이랑,,
맵지도않고,,
사이사이에,,
먹고싶네요^^,,
당황했지만,,
일부로,,
또시켜먹었어요!!,,
써비스로,,
느낌??,,
잘먹었어요~~!!,,
두번드세요,,
고추치킨?,,
반반했는데,,
남겼네요.,,
없다.,,
지점을,,
도착했습니다,,
바삭하고!,,
변치,,
해주세요!,,
마시쪄,,
실망해서,,
;),,
맵더라구요.,,
맵지않네요,,
빨,,
입니다ㆍ,,
빠른배달!,,
시켰더니...,,
좋았습니다ㅎ,,
치킨이었어요,,
"보통이고,",,
6초치킨으로,,
치킨입니다!,,
최고였음,,
3명이서,,
존맛탱!,,
좋겠는데,,
강력,,
늦은시간까지,,
배달되는,,
있지요,,
누릉지가,,
이상하다,,
차킨,,
무슨맛인지도,,
많은듯,,
굿굿.,,
시켜먹을지,,
실망했지만,,
만족스럽습니다~!!,,
너무커서,,
혼자먹기엔,,
컸는데,,
원하는대로,,
맛없었어요....,,
했거든요.,,
모르겠습니다,,
맛납니다!,,
오네요...,,
60개만,,
걸리는거,,
같구요.,,
치킨이었음,,
거보다,,
한참을,,
가요~,,
육십계치킨은,,
식어있고,,
생긴건,,
아니겠죠?,,
맛있어졌네요,,
자주시켜먹을듯,,
스럽네요,,
양이라,,
양인데,,
동생과,,
작아요ㅜ,,
x,,
"맛이고,",,
나무젓가락,,
좋았습니당!,,
못드시는분도,,
팩트만,,
미쳤습니다,,
문앞보니,,
고추맛으로,,
아무런,,
잘먹었어요.^^,,
제공되는,,
생각합니다.,,
예상과,,
ㅎㄹ,,
설명할,,
배달왔는데,,
인가요?,,
그렇다,,
등등,,
평보고,,
적극,,
.잘,,
믿고먹어요,,
찢어질,,
만든지,,
좋아하시는분,,
바램,,
빨랐구요.,,
두번에,,
나누어,,
일회용품,,
바닦에,,
표현이,,
엄청많이,,
추천입니다.,,
신선한건,,
하나씩,,
어쩌다,,
시키긴,,
지역이,,
생각해보면,,
지역,,
비비큐,,
잇어서,,
말라비틀어져서,,
불러,,
묵었어요,,
더맛있음,,
질리지않게,,
추웠는데,,
잘먹었습니다~^^*,,
왔다면,,
써주면,,
괜찮네요!,,
주소가,,
됐는지,,
앱에,,
맞았습니다.,,
강력추천합니다,,
느낌으로,,
가벼운,,
잡내없이,,
행복해요,,
식구가,,
치킨인,,
쵝오!!!,,
타브랜드에,,
안심,,
맛있었고요,,
편이네요.,,
짱??,,
맛있어요.........,,
순살메뉴도,,
고픈,,
묻지,,
칼같이,,
"깨끗하고,",,
도착하시고,,
ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,,
올라가서,,
안정적인,,
털어서,,
일정하게,,
잘못이지만,,
연결,,
됐다고,,
체크를,,
뿌링클과,,
어쩔수,,
이전,,
어쨋든,,
서로,,
기대감,,
집이에요~,,
붙였는데..,,
고생하시는것도,,
넣고,,
보이네요.,,
버세요~,,
피해를,,
먹겠다고,,
마지막날이라,,
군내도,,
시장통닭,,
같고요,,
빠른배달감사합니다.,,
안내받은,,
오토바이로,,
같이먹은,,
왔더라도,,
치더라도,,
확인하는,,
말복이라,,
맛있어요!~~,,
맛있음!!!,,
편인데도,,
빠트리고,,
괜찮았다,,
"밀렸는지,",,
베여서,,
좋겠네요...,,
별로없어,,
있어요~~^^,,
돌려먹으면,,
맛났습니다.,,
게눈,,
괜찮을,,
느끼합니다,,
정말빠르고,,
짜요...,,
퍽퍽한거,,
싶게,,
의문이,,
손도,,
최고입니다!!!!!,,
30분동안,,
짰어요~,,
블로그,,
후추맛,,
3점,,
재주문했어요!,,
났습니다.,,
방문포장도,,
사람이랑,,
달콤짭쪼름한,,
딴데,,
신선도가,,
보낸,,
그랬지만,,
마늘과,,
장난아니게,,
냉동했다가,,
ㅋㅋㅋ소스,,
하네요~~,,
올립니다.,,
맛잇습니다~,,
선택한,,
새해복,,
건강하시고,,
최애♡,,
먹고남긴,,
새로나와서,,
치킨입니다~,,
하구,,
갠적으론,,
맛있습니당~,,
좋은데..,,
기다렸다,,
시켜봤는데요,,
첫주문입니다,,
이래서,,
기름기도,,
많더라구요!,,
부분육으로,,
행복해,,
매운양념이,,
축구보며,,
존,,
재미있는,,
있죠?,,
알겠어요,,
좀식어서,,
짓,,
60계에서는,,
짭쪼롬하니,,
이또한,,
다른어플로,,
이었습니다.,,
잘먹을께요.,,
인기있는,,
좋았을거,,
딱딱하지않고,,
상큼하니,,
맛이다고,,
달지,,
"크크크소스,",,
바삭하지만,,
심심하니,,
예상도착시간보다,,
배어서,,
조카,,
잘먹네요!,,
흡입했네요.,,
치밥을,,
처음먹어봣는데,,
땅!,,
금요일인데도,,
적었어요.,,
부모님께서도,,
오다니,,
많아요??,,
빠름!,,
짜기만,,
어흥치킨,,
먹었어용!,,
식지않게,,
마시써여,,
감사합니다.^^,,
자주먹어도,,
먹네요^^,,
왔다갔다,,
6초가,,
먹었습니다ㅎㅎㅎ,,
포장해와서,,
가져오자마자,,
인것,,
딸,,
배달신속하고,,
시켜먹어요..,,
추천받고,,
모자란,,
먹었습니다??,,
60계치킨과,,
염지나,,
들어가는지,,
처리해주셔서,,
크런키,,
점도,,
치킨인데도,,
순살이네요,,
솟아나요,,
어리면,,
강추..,,
감사합니다-,,
강하지않고,,
별루였네요.,,
튀김기에서,,
않았어요!,,
짱맛있음,,
육계,,
있네요....,,
성인이,,
저같은,,
느낌이었어요!,,
가성비짱,,
맛있어요!양은,,
다음은,,
왔네요~,,
기대하고시켰는데,,
시키는게,,
세대가,,
시켰은데,,
부족하네요.,,
휴무라고,,
두세번,,
60계라,,
먹어봐서,,
다먹구,,
맛있어요..근데,,
못먹겠네요,,
이용할게요.,,
노랗게,,
아쉬운점이,,
있었다면,,
이용할듯,,
부드럽네요.,,
포테이토는,,
이랬다가,,
튀김가루가,,
많은것같아요~,,
양도좋고,,
폭풍흡입,,
합니다..,,
깜빡했네요,,
순살치킨은,,
추가하면,,
없었으면,,
입맛까다로운,,
주문했는데.,,
늦어져,,
1시간20분정도,,
very,,
nice.,,
순살이라고,,
아니었던것같은데,,
시킵니다..,,
마요,,
신선하지,,
뜨끈뜨끈하니,,
has,,
been,,
great,,
도착했구요,,
너무맛나게,,
60계치킨도,,
적어진것,,
좋아요ㅎㅎㅎ,,
새기름,,
어울려져서,,
시켰을때는,,
할인하는,,
이번주도,,
듣던대로,,
쩐내도,,
궁금했어요,,
너무적네요,,
부족한게,,
윙메뉴,,
마시서요,,
좋아요♡,,
60계치킨이네요,,
상품이,,
먹을려구여,,
방문해서,,
안났어요,,
집주변에,,
양까지,,
이때까지,,
3종이라,,
국물도,,
순살반반,,
같습니다!,,
친절하시네요!!,,
"맛나게,",,
지점보다도,,
좋아혀요,,
바삭하고맛있네요,,
ㅎㅎ.,,
도는,,
조화로운,,
조아요.,,
안시키면,,
뉴장스는,,
만나서,,
절로,,
처음주문해서,,
바삭한맛에,,
튀겨주세요,,
하시길,,
식기전에,,
뒤론,,
매력적이고,,
순살치킨도,,
둘이먹기,,
살짝쿵,,
낮에,,
먹어보고파서,,
올께요~,,
썰어서,,
가족인데,,
닭한마리를,,
여러가지라서,,
해주셨어요,,
이용할게요!!,,
새콤달콤,,
드세요~,,
깜박했어요,,
주문할께요~~^^,,
맛있는줄,,
정말바삭하네요,,
소리부터,,
봐도,,
아쉬웠어용,,
생각해요!,,
다른집에,,
단점을,,
주문하면서도,,
세식구가,,
많네용,,
호랑이치킨.,,
먹었어요~~~^^,,
구성도,,
않은데..,,
야들야들하니,,
시켜요~~,,
주의를,,
호랑이치킨먹었는데,,
망정이지,,
두번시켜,,
잊을만큼,,
안시켜먹고,,
매운맛~,,
아주맛있게,,
먹더니,,
고추맛만,,
떡복이도,,
불고기랑,,
"잘먹고,",,
맛있게먹었어요~,,
먹어보려구요!,,
기름!,,
최고에요??,,
먹었어여.,,
약속은,,
했으니,,
죄송해요...,,
특이한게,,
짱맛이에요,,
배달해주셨고,,
했어요..,,
집에서도,,
포장하고,,
마늘맛만,,
??????????????,,
아니고..,,
있을까요,,
거짓말,,
저번이랑,,
안눅눅하고,,
떡볶기도,,
아니였습니다,,
요청에도,,
60계치킨보다,,
시켜먹어야겠어요!!,,
싶어요!!,,
편하네요~,,
잘먹고있어요.,,
시켜드렸어요,,
이국적인,,
둘째는,,
뭐...,,
살포시,,
먹을래요,,
오지않아서,,
생각했지만,,
멀리,,
크크크치킨이랑,,
시켰는데요,,
크,,
안시킬이유가,,
위에만,,
말았어요,,
??,,
가는게,,
서비스도좋고,,
먹어요♡,,
최애메뉴,,
굿입니다^^,,
최고예요!!!,,
한마리도,,
넘맛있어요!,,
따라올,,
정도였어요.,,
자주시켜먹을게요,,
감사해요:),,
쪼꼼,,
배달오는데,,
친절하셨어요!,,
너무맛잇네요,,
들어가고,,
많다보니,,
좋았어요~~~,,
찍어먹어야,,
맛있대요~,,
갔습니다!!,,
아니구,,
입에서,,
간단히,,
????????????????????????????,,
술술,,
돼있어서,,
신맛이,,
한개밖에,,
한곳에,,
다른곳이랑,,
고맙습니다~,,
느끼하지않게,,
양념치킨보다,,
영수증에,,
바뀐거,,
시켜먹어용,,
찌그러져서,,
상태였어요.,,
이용하지,,
겁~~~나,,
맛이어서,,
그덕에,,
바삭바삭합니당,,
식구는,,
안찍은게,,
몫,,
쓴것,,
오랜만에먹었는데,,
달콤짭짤매콤,,
맛있어요~~??,,
비슷.,,
추워서인지,,
축축해서,,
ㅎㅎㅎㅎㅎㅎㅎㅎ,,
요구르트,,
깔끔함이,,
후라이드로만,,
폭풍,,
예정입니다!,,
울아들,,
빠릅니다!,,
열,,
때까지,,
잘먹었어요~~~^^,,
단짠단짠하면서,,
있었어요^^,,
왔어요~^^,,
잘먹었다네요,,
시켜줬어요~~,,
좋아했습니다.,,
즐겼습니다.,,
혼술,,
괜찮을듯,,
"고추,",,
번창하세요~~~,,
작아진,,
맛있어요~~~~^^,,
튀겨놓은걸,,
또시켜먹을거에요,,
이용하는,,
괜찮고요,,
못드시는,,
빠싹한,,
초등학생,,
샀는데,,
온거같아요,,
닭이랑,,
있네요ㅎㅎ,,
시켜요!,,
너무좋았어요.,,
같아요♡,,
차별화된,,
먹었습니다~~?,,
좋아해요!!,,
매콤합니다,,
바쁘신와중에도,,
잘먹었어용~,,
미친,,
바삭함이에요,,
습,,
크크치킨이,,
뜨거울,,
바삭의,,
비싼듯,,
포장할때,,
아끼는,,
급하셨는지,,
댓글,,
밥반찬에,,
좋은게,,
방문시간,,
6,,
이미지보고,,
받으면,,
광고나,,
닉네임,,
윙15조각,,
푸짐해요~~,,
어려워요,,
기회되면,,
먹었습니다~!!!,,
ㅎㅎㅎㅎㅎㅎㅎㅎㅎ,,
한덩어리로,,
이해해요,,
다식고,,
떡볶이에는,,
고추순살치킨,,
모르지만,,
선택은,,
넘맛있어요~~,,
귀찬아서,,
부자되세요^^,,
식구들은,,
맛있더라구요~,,
사이드는,,
대만족입니다!,,
해주셨는데,,
안들려서,,
중독적으로,,
빠르게오고,,
보고는,,
상상,,
걸린다했는데,,
지점들보다,,
맛없음,,
음식이랑,,
오진,,
앙념에,,
퍽퍽살로,,
진짜...,,
이런저런,,
슴슴한,,
먹엇읍니다,,
깔끔해요!,,
뻑살도,,
안되나요?,,
될정도로,,
비싸네요,,
주문함.,,
반했어요,,
매운것을,,
매장에선,,
눅눅할,,
고스란히,,
묻지도,,
따지지도,,
스트레스가,,
짠감이,,
않나요?,,
너무맛있었는데,,
치킨주문했는데,,
5조각,,
어울릴지,,
걸리더라구요,,
고소하네요.,,
빠르고~,,
새롭게,,
흥건하게,,
짱입니다!!,,
기본적인,,
느껴짐,,
생각.,,
오래됬는지,,
시킬때보다,,
들어가네요,,
되었으면,,
퍽살,,
바삭바삭해용,,
맛잇습미다,,
닭다리에서,,
낭낭해서,,
버릴,,
짤까봐,,
추천함,,
하나네요,,
먹으려고요,,
거기보다,,
너무나서,,
양념류,,
아픈데,,
좋으네요~~,,
많네여,,
후추를,,
맛이었습니다...,,
신기하게도,,
맛나다,,
후딱,,
시간대,,
찍었네요;;,,
흠이네요,,
수많은,,
하시나요?,,
첨주문했는데,,
충분,,
최고입니다~~,,
할인이벤트,,
다음날까지,,
맛이좀,,
싶다가도,,
깔끔해요~^^,,
매콤해용,,
들어왔는데,,
먹고싶었던,,
하다보니,,
뼈까지,,
첨에는,,
좋아라,,
감자에서,,
미안한,,
통을,,
시켜먹었눈데,,
발린,,
어쩌면,,
간장맛과,,
먹을께요~~,,
싶었고,,
헉!,,
후라이드치킨이,,
한마리보다,,
다음번,,
확인하시고,,
주신건,,
신경써주셨으면,,
입장에서,,
멘토스,,
빠른편이라,,
첨시켜보는데,,
1회,,
먹음^^,,
좋으네요^^,,
까지는게,,
들었네요,,
신선합니다.,,
도착했어요!,,
일하다가,,
가슴살이랑,,
가게로,,
예전에도,,
먹고있어요^^,,
닭고기의,,
만남,,
"참,",,
500짜리,,
시켜먹습니다~,,
추천드립니다!,,
질겨요,,
간지봉,,
못찍었어요.,,
맛이랑은,,
느껴졌습니다,,
해주세요.,,
고기에,,
매장가서도,,
1시간이면,,
주문한것도,,
뭐하나,,
