"동별(1)","항목",2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","항목",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"동대문구","등록외국인",17875,190,140,96,669,6861,5045,1503,862,556,415,478,501,316,133,56,22,12,14,4,2,0,18724,203,144,96,1085,7424,4876,1522,882,561,415,472,508,296,132,55,21,13,13,4,2,-
"중랑구","계",387940,8870,10907,11699,12738,20370,31513,32361,26581,28619,25672,32620,32826,35215,28351,18874,14119,10196,4524,1471,356,58,387470,8732,10761,11661,12605,20107,31371,32466,26636,28624,25230,32386,33157,34779,28861,18949,14371,10259,4626,1465,371,53
"중랑구","한국인",382797,8672,10746,11578,12578,19799,30740,31665,26007,28230,25347,32235,32429,34985,28247,18834,14108,10193,4522,1468,356,58,382155,8519,10595,11541,12419,19480,30562,31756,26061,28233,24906,31984,32746,34562,28756,18909,14360,10256,4624,1462,371,53
"중랑구","등록외국인",5143,198,161,121,160,571,773,696,574,389,325,385,397,230,104,40,11,3,2,3,0,0,5315,213,166,120,186,627,809,710,575,391,324,402,411,217,105,40,11,3,2,3,-,-
"성북구","계",440089,10106,14645,16754,19701,36385,36187,30459,27905,32971,32109,39091,32240,31797,26659,18532,14961,11789,5530,1767,440,61,438168,9940,14438,16618,19576,36085,35824,30430,27585,32866,31527,38938,32656,31271,27016,18559,15132,11814,5615,1778,439,61
"성북구","한국인",427671,9973,14502,16633,18965,31804,33433,29291,27150,32408,31715,38729,31933,31590,26559,18487,14938,11777,5523,1762,440,59,425602,9796,14301,16497,18505,31557,33136,29275,26838,32296,31140,38592,32357,31080,26920,18518,15112,11803,5608,1773,439,59
"성북구","등록외국인",12418,133,143,121,736,4581,2754,1168,755,563,394,362,307,207,100,45,23,12,7,5,0,2,12566,144,137,121,1071,4528,2688,1155,747,570,387,346,299,191,96,41,20,11,7,5,-,2
"강북구","계",294804,4786,7273,9189,10528,18263,22575,19583,16582,20337,20594,26324,24529,26122,22104,16283,13431,10189,4501,1263,293,55,292977,4640,7102,9062,10434,18018,22262,19557,16329,20189,20213,26054,24715,25785,22325,16248,13568,10265,4554,1312,295,50
"강북구","한국인",290155,4696,7204,9137,10334,17155,21677,19078,16201,20029,20389,26092,24257,25938,22027,16242,13412,10184,4498,1260,293,52,288113,4546,7029,9012,10129,16825,21330,19048,15949,19890,20012,25817,24448,25605,22251,16211,13549,10260,4551,1309,295,47
"강북구","등록외국인",4649,90,69,52,194,1108,898,505,381,308,205,232,272,184,77,41,19,5,3,3,0,3,4864,94,73,50,305,1193,932,509,380,299,201,237,267,180,74,37,19,5,3,3,-,3
"도봉구","계",310133,5765,8782,10712,12035,17252,21311,20396,18076,21679,21561,27878,26515,28663,24376,16162,12603,9867,4551,1548,336,65,309494,5621,8725,10594,11941,17031,21238,20350,17859,21687,21194,27718,26874,28226,24879,16236,12747,9928,4653,1572,363,58
"도봉구","한국인",307740,5716,8730,10686,11944,16838,20940,20086,17814,21483,21404,27696,26379,28574,24341,16147,12599,9866,4549,1547,336,65,306948,5568,8674,10569,11803,16584,20855,20022,17585,21487,21027,27537,26726,28137,24841,16221,12743,9926,4651,1571,363,58
