Index,BMW.DE.Open,BMW.DE.High,BMW.DE.Low,BMW.DE.Close,BMW.DE.Volume,BMW.DE.Adjusted
118,39.849998,40.869999,39.82,40.705002,4596807,27.801655
119,41.700001,42.325001,41.43,41.799999,3087797,28.549536
120,41.549999,41.884998,41.060001,41.514999,2050444,28.354881
121,41.110001,42.014999,41.07,41.485001,2218170,28.334391
122,41.974998,42.189999,41.25,41.360001,2920482,28.249018
123,41.360001,41.380001,40.220001,40.360001,2935228,27.566013
124,40.66,41.639999,40.360001,41.259998,2537765,28.180716
125,40.84,40.884998,39.865002,39.900002,2152706,27.251835
126,40.095001,40.610001,39.799999,40.064999,2504803,27.364527
127,39.560001,39.560001,38.080002,38.200001,3890777,26.090729
128,38.830002,39.200001,37.794998,37.884998,2849023,25.87558
129,38.099998,38.529999,37.91,38.110001,1294605,26.029253
130,38.294998,39.27,38.294998,39,1825517,26.637129
131,38.700001,39.869999,38.615002,39.75,2640764,27.14938
132,39.619999,39.974998,38.865002,38.91,3162224,26.575659
133,39.299999,39.389999,38.605,39.150002,2305584,26.739582
134,39.299999,39.299999,38.865002,38.904999,1377886,26.572243
135,39,42.139999,39,42.130001,7966100,28.774933
136,42.419998,42.705002,40.990002,41.544998,5267683,28.375374
137,41.75,42.939999,41.360001,42.259998,4938556,28.863718
138,42.259998,43.294998,41.799999,42.150002,3863548,28.788593
139,41.849998,42.09,41.169998,41.355,2146857,28.2456
140,42,42.119999,40.595001,41.07,2504088,28.050951
141,41.299999,41.799999,40.610001,40.919998,2125655,27.948496
142,40.834999,42.349998,40.790001,41.965,2283699,28.662235
143,41.950001,42.235001,41.575001,41.990002,1841633,28.67931
144,42.169998,42.290001,41.610001,42.110001,1792961,28.761271
145,42.244999,42.490002,41.209999,41.5,2715157,28.344637
146,41.68,41.880001,40.41,40.720001,2398214,27.811895
147,40.77,41.215,40.395,40.715,1836693,27.808483
148,40.439999,41.400002,39.955002,41.310001,2294551,28.21487
149,41.459999,42.009998,41.02,41.869999,1870081,28.597347
150,42.75,44.044998,42.75,43.16,5021385,29.478422
151,43.139999,43.830002,42.490002,43.68,3052287,29.833582
152,43.685001,44.994999,43.474998,44.514999,3169618,30.403893
153,44.900002,45.380001,43.720001,43.900002,3207298,29.983849
154,44.490002,44.599998,43.974998,44.305,1443586,30.260462
155,44.349998,44.400002,43.145,43.345001,2134409,29.604778
156,43.049999,43.080002,42.330002,42.395,1610870,28.955925
157,42.299999,42.915001,40.785,41.900002,3412914,28.61784
158,42.02,42.224998,41.285,41.884998,2245662,28.607595
159,42.084999,42.294998,41.395,41.810001,1406962,28.55637
160,41.810001,43.099998,41.740002,43.099998,3108515,29.437441
161,43.02,43.59,42.764999,43.5,2090243,29.710642
162,43.68,44.07,42.66,42.84,2651955,29.259859
163,42.84,42.919998,41.744999,41.869999,2253678,28.597347
164,42,42.310001,41.595001,41.860001,1441990,28.590519
165,41.560001,41.759998,41.099998,41.52,1542276,28.358301
166,41.224998,41.970001,40.830002,41.435001,2596844,28.300247
167,41.560001,41.959999,41.349998,41.685001,1900537,28.470995
168,41.599998,41.810001,40.740002,41.759998,1977177,28.522219
169,41.764999,41.895,40.939999,41.205002,1122612,28.14315
170,40.5,41.665001,40.154999,41.665001,2956642,28.457331
171,42,42.990002,41.380001,42.91,3248910,29.307673
172,42.639999,43.889999,42.639999,43.595001,2092487,29.77553
173,43.599998,44.525002,43.259998,44.095001,2610676,30.117029
174,44.169998,44.200001,43.470001,44.035,1336079,30.07605
175,43.974998,44.314999,43.509998,43.935001,2086932,30.007753
176,43.720001,44.990002,43.599998,44.990002,2678450,30.728321
177,44.700001,45.735001,44.514999,45.400002,3448289,31.008348
178,45,46.865002,44.985001,46.205002,4189435,31.558172
179,46.650002,47.049999,45.91,46.435001,2372940,31.715258
180,46.299999,47.119999,46.205002,47.119999,2823383,32.183109
181,46.98,47.555,46.880001,47.25,3141028,32.271908
182,47.18,47.450001,46.82,47.349998,2649883,32.340206
183,47.810001,48.025002,47.105,47.41,14558159,32.381191
184,47.365002,49.125,47.215,49.125,4289154,33.552536
185,48.849998,49.415001,48.450001,48.48,3133084,33.112
186,48.48,48.700001,47.57,48.080002,3061832,32.838799
187,48.490002,48.695,47.485001,48.294998,2523980,32.985645
188,48.09,50.529999,48.029999,50.349998,4022665,34.389217
189,50.150002,50.349998,49.599998,50.150002,2380796,34.252621
190,49.799999,50.689999,49.314999,50.669998,2904663,34.607773
191,51,51.84,50.639999,51.060001,3464105,34.874146
192,50.900002,52.150002,50.5,51.439999,3262731,35.133686
193,51.439999,51.439999,49.125,49.299999,4764366,33.672058
194,49.055,49.189999,47.924999,48.220001,3402602,32.934425
195,48.365002,49.955002,47.82,49.955002,3168500,34.119431
196,49.77,50.049999,49.130001,49.494999,3092975,33.805252
197,49.310001,50.25,48.805,50,2722411,34.150169
198,50.259998,50.290001,49.415001,50.07,2592531,34.197975
199,50.200001,50.619999,49.82,49.869999,1506315,34.061375
200,49.439999,50.490002,49.064999,50.200001,2763409,34.28677
201,50.400002,50.490002,49.875,50.07,3817390,34.197975
202,50.5,50.5,49.740002,50,2287812,34.150169
203,50.080002,50.25,49.185001,49.450001,3689231,33.774509
204,49.23,49.415001,48.580002,49,2061426,33.467159
205,48.990002,49.695,48.84,49.115002,2259207,33.545712
206,49.09,49.605,48.895,49.599998,1796069,33.876961
207,49.540001,50.09,49.305,50.02,2292159,34.163826
208,50.189999,50.439999,49.544998,50.029999,1849862,34.170654
209,50.310001,51.02,50.200001,50.720001,2100971,34.641926
210,50.490002,50.939999,50.119999,50.439999,2354786,34.45068
211,50.040001,50.450001,49.099998,49.875,2713585,34.064789
212,50.150002,50.48,49.535,49.845001,2645875,34.0443
213,49.494999,51.650002,49.439999,51.509998,3494594,35.181503
214,51.77,52.990002,51.650002,52.959999,3194745,36.171856
215,52.700001,52.700001,52.099998,52.349998,2507747,35.755222
216,50.75,52.380001,50.650002,51.639999,5289275,35.270298
217,52.049999,54.150002,52,54.080002,3451963,36.936821
218,54.139999,54.990002,53.759998,54.060001,3309033,36.923161
219,53.689999,53.77,52.860001,53.41,1913984,36.479206
220,53.400002,54.98,53.220001,54.91,2267865,37.503708
221,54.599998,54.700001,53.330002,53.75,2259474,36.711422
222,54,54.490002,53.599998,54.419998,1720550,37.169041
223,53.330002,55.900002,52.849998,55.290001,3583731,37.763248
224,55.07,56.52,54.900002,56.060001,1951607,38.289162
225,55.68,55.830002,54.619999,54.619999,1843721,37.305637
226,54.720001,54.73,53.869999,54.299999,1664083,37.087074
227,54.959999,56.299999,54.939999,56.299999,2207875,38.453087
228,56.34,56.73,55.650002,56.669998,2652948,38.705795
229,57.330002,58.900002,57.299999,57.689999,3292362,39.402458
230,57.150002,58.619999,56.389999,56.470001,2953097,38.569199
231,57.009998,59.119999,56.48,59.119999,3316915,40.379154
232,59.099998,60,58.84,59.900002,1992241,40.9119
233,59.310001,59.759998,58.130001,59.25,2301565,40.467949
234,59.75,59.91,57.740002,57.740002,2266241,39.436615
235,57.700001,59.240002,57.220001,57.93,3330930,39.566383
236,58.349998,60.900002,58.349998,60.900002,3533953,41.594902
237,61.689999,63.799999,61.549999,63.799999,4412518,43.575611
238,63.700001,65.489998,63.48,63.689999,2999655,43.500477
239,64,64.529999,62.75,62.810001,2530327,42.899437
240,63,64.489998,62.400002,63.98,2748638,43.698551
241,63.5,63.5,61.900002,61.900002,3157849,42.277908
242,62.419998,62.66,58.880001,60.200001,5442032,41.116795
243,60.5,62.990002,60.389999,62.52,3097184,42.701366
244,62,63.439999,62,63.439999,1871774,43.329723
245,63.400002,63.439999,62.139999,62.470001,1818675,42.66721
246,62,62.830002,61.400002,62.490002,1475533,42.680878
247,62.400002,63.259998,61.790001,62.799999,1602021,42.892605
248,62.950001,63.150002,61.799999,61.950001,2848191,42.312057
249,61.900002,63.23,61.639999,63.150002,1586810,43.131657
250,63.400002,64.800003,62.919998,64.800003,1808112,44.25861
251,64.980003,65.110001,64.300003,64.370003,1257052,43.964928
252,64.550003,64.690002,63.240002,63.259998,1114917,43.206791
253,62.700001,62.700001,59.119999,59.220001,3488989,40.447453
254,59.689999,59.98,57.66,58.25,3100661,39.784946
255,58.099998,58.919998,58.080002,58.720001,1400695,40.105957
256,59.099998,59.470001,58.619999,58.849998,1077112,40.194744
257,59.259998,61.450001,59.07,61.450001,2101012,41.970554
258,61.5,61.740002,60.02,60.740002,2266190,41.485619
259,60.5,60.93,58.220001,60.029999,3913153,41.000687
260,60,61.18,59.66,59.900002,2101823,40.9119
261,59.509998,60.09,58.540001,59.310001,2776312,40.508926
262,58.799999,59.400002,58.360001,58.470001,1950108,39.935207
263,58.360001,59.990002,58.150002,59.66,2540226,40.747974
264,59.689999,60.57,58.93,59.32,2220002,40.515755
265,59.25,59.540001,57.610001,57.68,3123094,39.395634
266,57.5,59.02,56.790001,58.939999,4078219,40.256214
267,58.799999,59.5,58.220001,58.549999,1615997,39.989849
268,58.98,59.939999,58.27,58.75,3142418,40.126446
269,58.869999,58.919998,57.330002,57.860001,4434169,39.518574
270,57.57,57.700001,55.220001,55.509998,4670268,37.913513
271,55.77,56.689999,54.169998,55.700001,5366862,38.043285
272,55.599998,55.830002,54.400002,55.23,2825547,37.722275
273,55.77,56.73,55.349998,56.080002,2587932,38.302826
274,56.509998,57.549999,56.18,56.950001,3016559,38.897041
275,56.900002,57.970001,56.669998,57.310001,2516008,39.142921
276,58.700001,58.950001,57.060001,57.099998,3788334,38.999489
277,56.880001,56.91,55.439999,56.080002,2796644,38.302826
278,57.029999,57.110001,55.970001,56.509998,2394850,38.596516
279,56.849998,58.240002,56.130001,56.470001,3190674,38.569199
280,56.41,57.330002,55.23,57.330002,2485234,39.156582
281,57.75,57.900002,56.450001,56.849998,1952374,38.828739
282,57,58.869999,56.549999,58.849998,2575937,40.194744
283,59.029999,61.650002,58.860001,61.59,5588838,42.066177
284,61.450001,62.419998,60.759998,61.290001,3492106,41.861271
285,60.919998,61.810001,60.400002,61.709999,2534881,42.148129
286,61.25,63.439999,61.099998,63.139999,2734862,43.124828
287,63.5,63.68,62.970001,63.139999,2370599,43.124828
288,63.150002,63.299999,61.84,61.98,2410165,42.332542
289,62.200001,62.369999,60.77,61.66,3256747,42.113979
290,61.700001,61.919998,60.169998,61.040001,2799679,41.690521
291,61.580002,61.580002,60.099998,60.560001,2418461,41.362682
292,60.389999,61.68,60.07,60.299999,2072955,41.185097
293,59.5,61.18,59.470001,60.43,2184646,41.273891
294,60.380001,60.419998,57.790001,58.299999,2859988,39.819092
295,57.25,58,56.389999,57,3591172,38.931187
296,57.490002,59.049999,57.080002,58.700001,2662872,40.092293
297,58.459999,59.209999,57.900002,58.779999,2061073,40.146927
298,59.32,61.099998,58.970001,59.669998,3450012,40.754803
299,58.849998,59.049999,57.549999,58,3454511,39.614197
300,58.599998,59.32,57.84,58.09,2300279,39.675663
301,58.599998,59.75,57.580002,57.779999,3265392,39.463928
302,56.810001,58.669998,56.419998,57.740002,2155275,39.436615
303,58.490002,58.860001,56.93,57.970001,2115514,39.5937
304,58.27,58.889999,57.549999,58.139999,2655032,39.709812
305,57.41,59.5,56.68,57.119999,4850780,39.013153
306,56.5,57.200001,55.91,56.299999,2706899,38.453087
307,55.75,56.450001,55.25,55.799999,2718095,38.111588
308,54.720001,54.82,52.009998,54.290001,5671440,37.080254
309,54.880001,55.439999,52.950001,53.09,3765636,36.260651
310,53.490002,54.919998,53.209999,54.130001,3745805,36.970966
311,54.599998,56.16,53.82,55.299999,6405214,37.770084
312,56.439999,56.439999,54.91,55.439999,3129613,37.865704
313,55.299999,55.34,54.25,54.59,2586977,37.285152
314,54.700001,55.889999,54.27,55.27,2922312,37.749596
315,55.349998,57.830002,55.029999,57.599998,3672785,39.340984
316,58.169998,58.169998,57.220001,57.459999,1782525,39.245369
317,57.400002,57.490002,56.400002,57.360001,2058266,39.177067
318,57.700001,58.189999,56.630001,57.389999,2294273,39.197563
319,58.080002,58.91,57.880001,58.560001,2296540,39.996677
320,58.59,59.139999,58.290001,58.75,2365321,40.126446
321,59.200001,61.310001,59.099998,61.220001,3383227,41.813465
322,61.389999,61.400002,60.16,60.41,2114657,41.260231
323,60.709999,61.189999,60.5,61,2382554,41.663204
324,61.220001,61.5,60.139999,60.810001,2689580,41.533432
325,59.650002,59.900002,59.049999,59.130001,4163243,40.385986
326,59.360001,59.709999,58.32,58.540001,2776722,39.983013
327,58,58.27,57.02,57.099998,3165738,38.999489
328,56.700001,57.080002,56.220001,56.639999,2673787,38.685307
329,57.27,58.419998,56.939999,57.59,2496512,39.334164
330,57.509998,58.150002,57.209999,57.939999,1622783,39.573212
331,58.200001,58.389999,57.720001,58.119999,2658288,39.696148
332,57.849998,58.82,56.790001,57.209999,2327710,39.074619
333,57.610001,59.310001,57.549999,58.790001,2455377,40.153767
334,59.310001,60.759998,59.279999,60.529999,2693796,41.342194
335,61,61.18,59.889999,61,1683593,41.663204
336,60.990002,61.869999,60.599998,61.709999,1347059,42.148129
337,61.560001,63.139999,61.5,61.939999,2706143,42.305229
338,62.560001,63.25,62.060001,63.18,2787943,43.152153
339,62.91,63.669998,62.290001,63.669998,1741289,43.486816
340,64,65.300003,64,64.440002,2321406,44.012737
341,63.779999,63.98,62.169998,63.369999,2775566,43.281914
342,64.800003,65,61.919998,62.349998,5808821,42.585251
343,62.200001,62.52,60.380001,61.360001,3546100,41.909081
344,61.419998,62.990002,60.27,62.82,3851643,42.906265
345,62.73,62.959999,60.98,61.279999,3179012,41.854443
346,61.599998,63.040001,61.209999,62.669998,2905464,42.803814
347,63.029999,63.849998,62.41,63.169998,6560795,43.145313
348,62.400002,63.209999,62.16,63.209999,15639814,43.172638
349,62.380001,62.950001,61.709999,61.860001,2457148,43.137775
350,61.169998,61.799999,60.380001,61.540001,2023599,42.914623
351,61.389999,61.57,60.459999,60.57,2258542,42.238194
352,61.09,61.450001,60.669998,61.25,1888415,42.712391
353,61.830002,62.5,61.279999,61.98,2377335,43.221451
354,62.189999,62.43,60.619999,60.98,5738738,42.524109
355,60,60.029999,58.830002,59.130001,2760383,41.23402
356,59.009998,60.689999,59,60.279999,2139999,42.035965
357,59.650002,60.990002,59.400002,60.75,1954010,42.363724
358,61,61,59.360001,59.700001,2733454,41.631512
359,60.200001,60.830002,59.869999,60.700001,1846888,42.32885
360,60.889999,61.240002,60.490002,60.830002,658108,42.419514
361,61.5,61.889999,61.25,61.48,2096293,42.87278
362,61.279999,61.400002,60.139999,60.610001,2064142,42.26609
363,60.299999,60.900002,59.400002,60.139999,1915722,41.938332
364,60.259998,60.91,59.650002,60.290001,1760603,42.042938
365,60.099998,60.959999,59.75,60.740002,1579540,42.356743
366,60.700001,61.130001,60.119999,60.32,1379774,42.063862
367,59.880001,61,59.259998,61,2859053,42.538055
368,61.259998,63.060001,60.970001,62.93,4258202,43.883934
369,62.990002,63.470001,62.040001,62.34,2748506,43.472492
370,62.5,62.919998,61.720001,62.509998,1149645,43.591042
371,62.040001,63.52,62.009998,63.400002,2637256,44.211681
372,62.849998,63.689999,62.209999,62.380001,2449543,43.500385
373,62,63.439999,61.490002,63.439999,2907755,44.239571
374,63.060001,64.550003,62.439999,64.18,5171504,44.755611
375,63.66,64.239998,62.93,63.900002,2213674,44.560356
376,64.410004,64.870003,63.830002,64.849998,2594437,45.222832
377,64.900002,65.629997,64.019997,65.389999,3423654,45.599396
378,65.150002,66.07,64.660004,65.209999,2965074,45.473877
379,66.120003,68.459999,66.120003,67.129997,4747099,46.812778
380,67.089996,68.059998,66.790001,67.760002,2061224,47.252113
381,67.839996,69.379997,67.290001,69.099998,2638323,48.186546
382,69.550003,70.019997,67.980003,68.860001,3465572,48.019188
383,68.970001,69.099998,67.260002,68.809998,2978742,47.984322
384,68.699997,68.699997,67.349998,67.769997,2556578,47.259083
385,67.980003,69,67.540001,68.82,1300389,47.991287
386,68.510002,69.550003,68.209999,68.790001,1776463,47.970383
387,68.440002,69.139999,67.559998,67.82,2342908,47.293949
388,68.379997,69.449997,68.129997,69.279999,2774569,48.312069
389,69.330002,70.120003,68.25,68.510002,2415872,47.775124
390,68,68.260002,66.330002,66.75,2667642,46.547787
391,65.739998,67.559998,64.190002,67.239998,5383859,46.889484
392,67.580002,70.290001,67.559998,70.18,3597249,48.939678
393,69.639999,71.75,69.559998,71,3657786,49.511509
394,70.75,72.739998,70.440002,72.669998,3756090,50.676071
395,72.269997,72.650002,70.940002,71.110001,2262233,49.588215
396,71.949997,72.519997,71.239998,72,1712031,50.208851
397,72.489998,72.489998,71.120003,71.949997,1865206,50.173985
398,72.389999,72.57,70.339996,71.190002,2878589,49.644001
399,71.940002,71.940002,70.620003,71.580002,1644125,49.91597
400,71.220001,73.68,70.919998,73.519997,2432193,51.268818
401,73.769997,73.849998,71.57,72.190002,2356886,50.341343
402,71.580002,72.849998,70.32,70.699997,3332609,49.302296
403,70,70.870003,68,70.25,3278654,48.988491
404,69.260002,70.720001,68.699997,69.82,2231679,48.688633
405,71.599998,71.760002,67.510002,67.709999,2824591,47.217239
406,67.800003,69.300003,65.790001,65.970001,4547803,46.003857
407,65,66.889999,64.410004,65.550003,4093606,45.710976
408,66.779999,66.779999,61.220001,61.27,5965142,42.726337
409,59.130001,63.720001,58.599998,60.48,6102743,42.17543
410,59.349998,61.27,54.509998,55.139999,7467791,38.451614
411,55.59,58.77,51.709999,58.630001,9731294,40.885345
412,60.59,61.59,54.630001,55.619999,7388724,38.786331
413,57.169998,57.900002,54.349998,57.66,5738880,40.208923
414,57.57,59.709999,56.09,59.34,4424046,41.380463
415,60,60.68,59.09,59.310001,2643815,41.359543
416,58.52,59.099998,56.799999,58.869999,3086059,41.052711
417,58.349998,59.900002,57.73,58.759998,2430044,40.975998
418,57.810001,58.290001,53.279999,54.150002,5909122,37.761242
419,53.130001,53.990002,50.57,52.299999,7542802,36.471149
420,50.330002,52.439999,49.834999,50.09,5743470,34.930019
421,50.970001,52.490002,50.200001,51.369999,4907408,35.82262
422,52.5,54.450001,51.099998,53.57,4400397,37.356777
423,54.290001,55.560001,52.869999,53.82,5235590,37.53112
