direction,angle,percent_list,init_angle
0,152,13.0,152
0,151,15.0,151
0,152,15.0,151
0,152,15.0,151
0,154,15.0,151
0,153,15.0,151
0,151,15.0,151
0,151,15.0,151
0,152,15.0,151
0,150,17.0,150
0,149,18.0,149
0,147,22.0,147
0,144,27.0,144
0,143,28.0,143
0,146,28.0,143
0,146,28.0,143
0,150,28.0,143
0,144,28.0,143
0,145,28.0,143
0,143,28.0,143
0,124,60.0,124
0,128,60.0,124
0,124,60.0,124
0,117,72.0,117
1,121,65.0,121
1,122,63.0,122
1,120,63.0,122
1,118,63.0,122
1,114,63.0,122
1,117,63.0,122
1,117,63.0,122
1,119,63.0,122
1,116,63.0,122
1,92,63.0,122
1,100,63.0,122
1,79,63.0,122
1,80,63.0,122
1,83,63.0,122
1,85,63.0,122
1,104,63.0,122
1,127,55.0,127
0,119,68.0,119
0,128,68.0,119
0,126,68.0,119
0,138,68.0,119
0,140,68.0,119
0,133,68.0,119
0,132,68.0,119
0,136,68.0,119
0,141,68.0,119
0,142,68.0,119
0,148,68.0,119
0,151,68.0,119
0,147,68.0,119
0,149,68.0,119
0,153,68.0,119
0,155,68.0,119
0,158,68.0,119
0,154,68.0,119
0,156,68.0,119
0,160,68.0,119
0,161,68.0,119
0,148,68.0,119
0,149,68.0,119
0,151,68.0,119
0,148,68.0,119
0,146,68.0,119
0,144,68.0,119
0,144,68.0,119
0,142,68.0,119
0,145,68.0,119
0,157,68.0,119
0,153,68.0,119
0,155,68.0,119
0,156,68.0,119
0,159,68.0,119
0,155,68.0,119
0,159,68.0,119
0,147,68.0,119
0,147,68.0,119
0,140,68.0,119
0,138,68.0,119
0,131,68.0,119
0,127,68.0,119
0,134,68.0,119
0,134,68.0,119
0,126,68.0,119
0,122,68.0,119
0,112,80.0,112
1,113,78.0,113
1,112,78.0,113
1,114,77.0,114
1,103,77.0,114
1,102,77.0,114
1,93,77.0,114
1,88,77.0,114
1,79,77.0,114
1,80,77.0,114
1,89,77.0,114
1,107,77.0,114
1,106,77.0,114
1,110,77.0,114
1,115,75.0,115
1,125,58.0,125
1,142,30.0,142
0,133,45.0,133
0,136,45.0,133
0,136,45.0,133
0,136,45.0,133
0,139,45.0,133
0,143,45.0,133
0,143,45.0,133
0,143,45.0,133
0,143,45.0,133
0,149,45.0,133
0,147,45.0,133
0,159,45.0,133
0,159,45.0,133
0,153,45.0,133
0,155,45.0,133
0,152,45.0,133
0,152,45.0,133
0,140,45.0,133
0,140,45.0,133
0,139,45.0,133
0,137,45.0,133
0,137,45.0,133
0,148,45.0,133
0,147,45.0,133
0,148,45.0,133
0,147,45.0,133
0,149,45.0,133
0,156,45.0,133
0,150,45.0,133
0,149,45.0,133
0,145,45.0,133
0,147,45.0,133
0,148,45.0,133
0,144,45.0,133
0,144,45.0,133
0,130,50.0,130
0,132,50.0,130
0,122,63.0,122
0,125,63.0,122
0,117,72.0,117
1,118,70.0,118
1,118,70.0,118
1,117,70.0,118
1,109,70.0,118
1,101,70.0,118
1,98,70.0,118
1,96,70.0,118
1,90,70.0,118
1,106,70.0,118
1,111,70.0,118
1,112,70.0,118
1,120,67.0,120
1,128,53.0,128
0,126,57.0,126
0,141,57.0,126
0,140,57.0,126
0,131,57.0,126
0,131,57.0,126
0,136,57.0,126
0,141,57.0,126
0,145,57.0,126
0,145,57.0,126
0,150,57.0,126
0,149,57.0,126
0,151,57.0,126
0,155,57.0,126
0,157,57.0,126
0,153,57.0,126
0,153,57.0,126
0,152,57.0,126
0,152,57.0,126
0,155,57.0,126
0,156,57.0,126
0,156,57.0,126
0,156,57.0,126
0,143,57.0,126
0,153,57.0,126
0,151,57.0,126
0,149,57.0,126
0,153,57.0,126
0,156,57.0,126
0,159,57.0,126
0,157,57.0,126
0,158,57.0,126
0,154,57.0,126
0,149,57.0,126
0,152,57.0,126
0,137,57.0,126
0,130,57.0,126
0,127,57.0,126
0,125,58.0,125
0,134,58.0,125
0,127,58.0,125
0,127,58.0,125
0,125,58.0,125
0,116,73.0,116
1,112,73.0,116
1,102,73.0,116
1,93,73.0,116
1,102,73.0,116
1,92,73.0,116
1,99,73.0,116
1,114,73.0,116
1,121,65.0,121
1,125,58.0,125
1,126,57.0,126
1,135,42.0,135
0,142,42.0,135
0,130,50.0,130
0,127,55.0,127
0,130,55.0,127
0,134,55.0,127
0,140,55.0,127
0,148,55.0,127
0,145,55.0,127
0,150,55.0,127
0,145,55.0,127
0,153,55.0,127
0,154,55.0,127
0,161,55.0,127
0,163,55.0,127
0,155,55.0,127
0,158,55.0,127
0,146,55.0,127
0,144,55.0,127
0,142,55.0,127
0,143,55.0,127
0,142,55.0,127
0,143,55.0,127
0,143,55.0,127
0,145,55.0,127
0,145,55.0,127
0,145,55.0,127
0,145,55.0,127
0,144,55.0,127
0,147,55.0,127
0,149,55.0,127
0,152,55.0,127
0,151,55.0,127
0,155,55.0,127
0,152,55.0,127
0,155,55.0,127
0,156,55.0,127
0,157,55.0,127
0,160,55.0,127
0,164,55.0,127
0,167,55.0,127
0,170,55.0,127
0,171,55.0,127
0,169,55.0,127
0,165,55.0,127
0,166,55.0,127
0,166,55.0,127
0,166,55.0,127
0,170,55.0,127
0,171,55.0,127
0,171,55.0,127
0,171,55.0,127
0,167,55.0,127
