No,region,store,dates,order_items,reviews,taste_score,quantity_score,delivery_score,,order_세분화1,order_세분화2,order_세분화3,order_세분화4,order_세분화5,order_세분화6,order_세분화7,order_세분화8,,순살 여부
32098,교촌치킨,독립문점,2023년 12월 27일,허니콤보/2,좋아요 ~~잘먹었습니다 ~~~,5,5,5,,허니콤보,,,,,,,,,X
32099,교촌치킨,독립문점,2023년 12월 25일,[기간한정] 반반점보윙（레드／허니）＋옥수수볼 세트/1,감사합니다 잘먹었습니다!!!,5,5,5,,반반점보윙,,,,,,,,,X
32100,교촌치킨,독립문점,2023년 12월 21일,반반콤보/1,맛있게 잘먹었습니다,5,5,5,,반반콤보,,,,,,,,,X
32101,교촌치킨,독립문점,2023년 12월 20일,"교촌오리지날（한마리）/1,웨지감자/1",존맛탱 배달 빠르고 맛있어요,5,5,5,,오리지날, 사이드,,,,,,,,X
32102,교촌치킨,독립문점,2023년 12월 18일,허니콤보/1,교촌 치킨 최고！！！,5,5,5,,허니콤보,,,,,,,,,X
32103,교촌치킨,독립문점,2023년 12월 17일,허니오리지날（한마리）/1,배달이 빨리 와서 잘 먹었네요,4,4,4,,허니오리지날,,,,,,,,,X
32104,교촌치킨,독립문점,2023년 12월 15일,반반콤보/1,콤보반반 맛있게 먹었어요.,5,5,5,,반반콤보,,,,,,,,,X
32105,교촌치킨,독립문점,2023년 12월 14일,"허니순살/1,콜라,（500ml）사이즈업/1","주문하고 1시간이상 걸려서
배달 오고
주문한 콜라는 안오고
사이다 오고
왜안오시나?전화 문의하니
금방 간다 기다러라.
사과 받아야 맛은 아니지만
사장님 이건 아닌거 아닌가요",5,5,1,,허니순살,,,,,,,,,0
32106,교촌치킨,독립문점,2023년 12월 12일,[기간한정] 반반점보윙（교촌／레드）＋옥수수볼 세트/1,너무너무맛있습니다굿굿,5,5,5,,반반점보윙,,,,,,,,,X
32107,교촌치킨,독립문점,2023년 12월 10일,레허반반순살/1,순삭했어요..역시돈값하는교촌,5,5,5,,레허반반순살,,,,,,,,,0
32108,교촌치킨,독립문점,2023년 12월 09일,"허니순살/1,콜라,（500ml）사이즈업/1",맛있게 잘먹었습니다,5,5,5,,허니순살,,,,,,,,,0
32109,교촌치킨,독립문점,2023년 12월 08일,반반콤보/1,맛있어서 개눈감추듯 흡입함ㅋㅋ,5,5,5,,반반콤보,,,,,,,,,X
32110,교촌치킨,독립문점,2023년 12월 03일,블랙시크릿오리지날（한마리）/1,좋아요좋아요좋아요좋아요,5,5,5,,블랙시크릿오리지날,,,,,,,,,X
32111,교촌치킨,독립문점,2023년 11월 25일,레드콤보/1,"원래 다른 지점에서 주문하다가 독립문점이 레드를 맛있게 잘해주셔서 재주문했어요
닭다리에 상한냄새가 나서 신속히 재배달해주셨어요
콤보양은 적게 느껴졌어요",4,4,5,,레드콤보,,,,,,,,,X
32112,교촌치킨,독립문점,2023년 11월 21일,[기간한정] 반반점보윙（레드／허니）＋옥수수볼 세트/1,"정말 맛났어요
지금 또 시키려구요",5,5,5,,반반점보윙,,,,,,,,,X
32113,교촌치킨,독립문점,2023년 11월 16일,허니오리지날（한마리）/1,배송 빠르고 허니 제일 맛남,5,5,5,,허니오리지날,,,,,,,,,X
32114,교촌치킨,독립문점,2023년 11월 13일,교촌순살/1,이러다 일닝닐닭하겠음 ㅠㅠ,5,5,5,,순살후라이드,,,,,,,,,0
32115,교촌치킨,독립문점,2023년 11월 13일,교촌오리지날（한마리）/1,"독립문점이
이주변에서 제일 맛난듯",5,5,5,,오리지날,,,,,,,,,X
32116,교촌치킨,독립문점,2023년 11월 08일,"레드오리지날（한마리）/1,허니오리지날（한마리）/1,의성마늘볶음밥/1,달걀듬뿍볶음밥/1",맛있습니다. 너무 맛있어서 먹다가찍었네요,5,5,4,,레드오리지날, 허니오리지날,,,,,,,,X
32117,교촌치킨,독립문점,2023년 11월 05일,"반반오리지날（한마리）/1,콜라,（500ml）사이즈업/1",맛있게 먹었어요~~,5,5,5,,반반오리지날,,,,,,,,,X
