dates,order_items,reviews,taste_score,quantity_score,delivery_score,delivery_score
2023년 8월 24일,"호랑이치킨/1,미니쫀득볼（10개）/1",울 아들이 항상먹는 치킨~~  넘 맛있답니다.,5,5,5
2023년 8월 22일,후라이드/1,요즘 젤좋아하는 치킨집,5,5,5
2023년 8월 15일,순살 크크크치킨/1,오 신기한 맛입니다 바삭,5,5,5
2023년 8월 12일,"크크크치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),다리 6조각/1(다리선택(후라이드 다리6조각))","60계치킨은 발산등촌점이 최고
진짜 바삭해용",5,5,5
2023년 7월 31일,"크크크치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),호랑이웨지감자/1",맛은있는데 너무 물린당 근데 다른건 다 좋았씀,5,5,5
2023년 7월 24일,크크크치킨/1,"사진을 찍고 먹지를 않아서요ᆢ
너무 맛나게 먹어서 다시 재주문 하려는데요ᆢ양이 조금 
더  많으면 행복할꺼 같아요ᆢ요번엔 사진 꼭 찍어 올릴께요ᆢ",5,3,5
2023년 7월 24일,6초치킨/1,매콤하고 달달하고 스트레스 확~~~~,5,5,5
2023년 7월 23일,"크크크치킨/1,양념소스/1",아이가 좋아해서 자주 시켜먹어요 바삭해서 맛있습니다,5,5,5
2023년 7월 15일,크크크치킨/1,크크크크크크크크크크크크,5,5,5
2023년 7월 7일,"콤보 반＋콤보 반 선택/1(콤보반＋반 선택1(간지콤보 반),콤보반＋반 선택2(고추콤보 반))","옛날에 시켰을때 맛있게 잘먹었는데
오늘은 싱거웠어여 ㅠ",3,3,4
2023년 7월 2일,"콤보（윙,봉,다리）/1(콤보선택(간지 콤보)),코카-콜라1.25L/1",굿 👍 잘먹었네요,5,5,5
2023년 7월 1일,"후라이드/1,윙 15조각/1(윙선택(후라이드 윙15조각))",맛있게 잘 먹었습니다~,5,4,5
2023년 6월 30일,크크크치킨/1,맛있게 잘 먹었습니다.,5,5,5
2023년 6월 30일,"콤보（윙,봉,다리）/1(콤보선택(간지 콤보))",맛있어요. 맛있어요.,5,5,5
2023년 6월 28일,"순살 크크크치킨/1,순살 호랑이치킨/1,순살간지 치킨/1,순살new장스 치킨/1",맛있게 잘 먹고있습니다 ㅎㅎ,5,5,5
2023년 6월 27일,크크크치킨/1,정말 바삭하고 맛있어요!!,5,5,5
