dates,order_items,reviews,taste_score,quantity_score,delivery_score,delivery_score
2024년 2월 3일,후라이드/1,기존후라이드치킨과는 다른맛  담백하고 바삭한 튀김이네요 감자튀김 맛있었어요,4,5,5
2024년 1월 31일,"크크크치킨/1,생맥주 1,000cc/1","미쳤나봐여~~~♡♡♡
개인적으로 배달앱리뷰 처음써보는데
바삭바삭..소스는 3가지다 하나도빠짐없이 다맛남
배달봉투에 가장 맛있는 치킨이 담겼다는말이 맞는말임
많이파세요~~^^",5,5,5
2024년 1월 31일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(하하핫윙봉 반),윙봉반＋반 선택2(간지윙봉 반))",여전히 맛있어요 근데 닭 크기가 많이 작아졌네요 :(,5,5,5
2024년 1월 30일,"크크크치킨/1(음료선택(사이다 1.25L)),호랑이치킨/1,생맥주 1,000cc/1",한 입 먹구 너무 맛있어서 사진 찍는 것도 까먹어서 중간에 찍었어요..ㅎㅎ 엄청 맛있고 사징님도 너무 친절하셔서 좋습니다!! 리뷰 쓰다가 또 생각나서 재주문 하고 다시 적어용ㅎㅎ,5,5,5
2024년 1월 30일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보),음료선택(스프라이트1.5L)),미니쫀득볼（10개）/1,포테이토 치즈스틱（3개）/1",맛있죠 ㅋㅋ 치킨은 사랑입니다,5,5,5
2024년 1월 30일,하하핫치킨/1,"적당히 매콤하고 맛있어요
중독되는 맛",5,5,5
2024년 1월 28일,크크크치킨/1,바삭하고 맛있네요~,5,5,5
2024년 1월 27일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),크크크치킨/1","비오는날도아니고, 눈오늘날도아니고,축구하는날도 아니고 치킨배달이 한시간반이나걸리네요~~기본배달예정시간은 50분을 한시간반으로 바꾸시듼가요 ㅠㅠ",1,1,1
2024년 1월 21일,"마요네즈소스/1,순살 호랑이치킨/1",눅눅..하네요 진심ㅡㅡ,1,3,1
2024년 1월 21일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))","원래 이런 리뷰 절대 안남기는데 너무 기분나빠서 남깁니다.

일단 먹긴했습니다만, 배달예상시간 약 50분정도여서 주문했는데 거의 2시간이 다되어서 도착했네요. 이정도로 오래걸린적은 없는데, 심지어 도착후에 배달기사가 문자도 안남겨줘서 오고나서 한참있다 알았습니다. 

그리고 비가와서 포장지는 비에 다 젖고 치킨 박스에 빗물 다묻어있었습니다. 아마 치킨박스 구멍사이로도 당연히 비가 들어왔을겁니다. 또 콜라 제로로 변경 요청드렸는데, 아마 일반콜라 보내신걸보면 변경이안되는거겠죠? 말씀이라도해주셨으면 좋았을거같네요.

가게운영하시는데 분명 실수있을거라생각하지만, 너무 많은부분이 문제가있는거같네요.",3,5,1
2024년 1월 21일,"후라이드 순살 반＋순살 반 선택/1(순살반마리선택(간지순살 반)),호랑이웨지감자/1",배달빠르고맛있습니다,5,5,5
2024년 1월 20일,"크크크치킨/1,미니쫀득볼（10개）/1,치킨 무/1","추천 받아서 주문해 봤는데 바삭하고 소스가 맛있어요 
항상 양념치킨만 먹는데 ㅋㅋㅋ 시키길 잘 한것 같아요",5,5,5
2024년 1월 19일,순살 크크크치킨/1,추천합니다. 맛나요,5,5,5
2024년 1월 15일,순살 호랑이치킨/1,튀긴 치킨이 매워봤자... 하고 생각했지만 진짜 매콤함이 올라와서 좀 놀랐고 신기했습니다. 맛있게 잘 먹었습니다!,5,5,5
2024년 1월 14일,순살 크크크치킨/1,맛있게 잘 먹었습니다.,5,5,5
2024년 1월 11일,"크크크치킨/1,콘마요소스/1",배달도 빠르고 정말 맛있어요.,5,5,5
2024년 1월 10일,크크크치킨/1,바삭바삭 완죤 꿀맛 ㅎㅎ,5,5,5
2024년 1월 8일,크크크치킨/1,60계치킨 처음인데 크런키 엄청. 바삭거리고 속은 부드럽고 앗있네요 그리고 45분걸린다고 했는데 30분만에 왔네요.또 구매할께요~^^,5,5,5
2024년 1월 5일,양념치킨/1,여기 진짜 맛있어요.,5,5,5
2024년 1월 4일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(하하핫윙봉 반),윙봉반＋반 선택2(간지윙봉 반))",맛있게 잘먹었습니다 :),5,5,5
2024년 1월 3일,후라이드/1,잘먹었습니다..맛있어요~~,5,5,5
2024년 1월 2일,하하핫치킨/1,치밥이 유행인지 초딩 저학년의 도전. 전 매운데 의외로 관찮다며 먹네요,5,5,5
2023년 12월 31일,"콤보（윙,봉,다리）/1(콤보선택(하하핫 콤보))",언제 먹어도 맛있는 하하하,5,5,5
2023년 12월 31일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),배달이 조금 늦게잡히긴 했지만 맛있게 잘먹었습니다,5,5,2
2023년 12월 26일,후라이드 반＋반마리선택/1(반마리선택(더매운고추  반)),60계 치킨은 역시 더바사삭 ㅋㅋㅋ 맵긴한데 맛나요 ㅋ,5,5,5
2023년 12월 26일,"콤보（윙,봉,다리）/1(콤보선택(간지 콤보)),순살 크크크치킨/1",잘먹었습니다 맛있어요,5,5,5
2023년 12월 26일,크크크치킨/1,바삭하고 소스가 맛있어요~,5,5,5
2023년 12월 25일,"봉 15조각/1(봉선택(더매운고추 봉 15조각)),윙 15조각/1(윙선택(더매운고추 윙 15조각))","오래기다림 배달시간보다ㅜ20분이상 늦음 매장
전화연결안됨",5,5,1
2023년 12월 22일,"반마리＋반마리 선택/1(뼈반＋반선택1(호랑이 반),뼈반＋반선택2(고추 반))","호랑이 반 + 고추 반 시켰는데
튀김옷이 좀 두껍고 물렁물렁한 느낌이에요. 
근처 여러 다른 지점에서 주문해 먹었던 동일한 메뉴인데 뭔가 다르네요.",2,5,5
2023년 12월 20일,"크크크치킨/1,미니쫀득볼（10개）/1","크크크 치킨 바삭하고 양도 많아요
치즈볼도 쫄깃쫄깃하고 맛있어요",5,5,5
2023년 12월 18일,"순살고추 치킨/1,콜라 245ml/1",조금만 더 바삭했음 좋겠어요,5,5,5
2023년 12월 16일,"후라이드/1,쫀도그/1",후라이드 도 기본맛으로 좋네요. 근데 ㅋㅋㅋ가 더 바삭한듯,4,4,4
2023년 12월 15일,"순살후라이드/1(음료선택(콜라 1.25L 사이즈 업)),치킨 무/1,아~매워!소스/1",바삭바삭한 치킨을 기대했는데 너무 눅눅해요 ㅠㅠㅠㅠ,3,3,4
2023년 12월 15일,"윙봉24세트/1(윙봉선택(간지 윙봉)),미니쫀득볼（10개）/1,코카-콜라1.25L/1","믿고먹는 60계..
역시 맛있습니다.",5,5,5
2023년 12월 11일,하하핫치킨/1,"매콤짭짤 청양고추도있고 맛있게 뚝딱
이벤트도 참여^^~
강추입니다 ^^~",5,4,5
2023년 12월 11일,순살 호랑이치킨/1,오랜만에 먹었는데 여전히 맛있네요~ 플레이크도 많이 뿌려주셔서 마지막까지 맛있게 먹었습니다ㅎㅎㅎㅎ,5,5,5
2023년 12월 9일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살호랑이 반),순살반＋반선택2(순살간지 반),음료선택(콜라 1.25L 사이즈 업))",너무 맛있어서 사진찍는걸 잊었네요...ㅠ,5,5,5
2023년 12월 9일,"콤보 반＋콤보 반 선택/1(콤보반＋반 선택1(간지콤보 반),콤보반＋반 선택2(하하핫콤보 반))",맛있게 잘먹었습니다,5,5,5
2023년 12월 4일,"후라이드/1,똥집튀김/1",언제먹어도 맛있어요,5,5,5
2023년 12월 2일,"크크크치킨/1,크크크소스/1,쫀득치즈볼（5개）/1",항상주문하는곳이에요,5,5,5
2023년 12월 1일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(new장스윙봉 반),윙봉반＋반 선택2(간지윙봉 반)),떡볶이/1",맛있게 잘먹었습니다 :),5,5,5
2023년 11월 28일,떡볶이 엔 순살（코카콜라）/1(순살선택(크크크 순살)),"오자마자  아이들이  순삭했어요
맛있게 잘 먹었습니다",5,5,5
2023년 11월 28일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(간지윙봉 반),윙봉반＋반 선택2(하하핫윙봉 반)),떡볶이/1",맛있게 잘먹었습니다~:),5,5,5
2023년 11월 27일,고추치킨/1,맛있게 잘 먹었습니다,5,5,5
2023년 11월 26일,후라이드콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 레드 1.25L)),치즈볼 넘넘 맛있고 치킨도 짜지 않아서 좋아요,5,5,5
2023년 11월 26일,순살 크크크치킨/1,맛있고 배달도 빨라서 좋았습니다,5,5,5
2023년 11월 18일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(하하핫윙봉 반),윙봉반＋반 선택2(간지윙봉 반))",맛있게 잘먹었습니다~:),5,5,5
