direction,angle,percent_list,init_angle
0,144,0.0,180
0,143,0.0,180
0,149,0.0,180
0,147,0.0,180
0,144,0.0,180
0,136,6.0,180
0,147,0.0,180
0,145,0.0,180
0,140,0.0,180
0,137,4.0,180
0,134,9.0,180
0,130,14.0,180
0,128,17.0,180
0,126,20.0,180
0,123,24.0,180
0,118,31.0,180
0,115,36.0,180
0,112,40.0,180
0,109,44.0,180
0,108,46.0,180
0,103,53.0,180
0,100,57.0,180
0,97,61.0,180
0,94,66.0,180
0,92,69.0,180
0,89,73.0,180
0,87,76.0,180
0,84,80.0,180
0,82,83.0,180
0,80,86.0,180
0,79,87.0,180
0,74,94.0,180
1,71,99.0,180
1,70,100.0,180
1,68,100.0,180
1,68,100.0,180
1,67,100.0,180
1,67,100.0,180
1,67,100.0,180
1,67,100.0,180
1,67,100.0,180
1,66,100.0,180
1,66,100.0,180
1,66,100.0,180
1,66,100.0,180
1,66,100.0,180
1,68,100.0,180
1,68,100.0,180
1,71,99.0,180
1,75,93.0,180
1,77,90.0,180
1,78,89.0,180
1,81,84.0,180
1,83,81.0,180
1,85,79.0,180
1,87,76.0,180
1,89,73.0,180
1,91,70.0,180
1,90,71.0,180
1,93,67.0,180
1,94,66.0,180
1,98,60.0,180
1,100,57.0,180
1,104,51.0,180
1,106,49.0,180
1,101,56.0,180
1,104,51.0,180
1,110,43.0,180
1,113,39.0,180
1,116,34.0,180
1,118,31.0,180
1,121,27.0,180
1,124,23.0,180
1,122,26.0,180
1,122,26.0,180
1,126,20.0,180
1,129,16.0,180
1,132,11.0,180
1,135,7.0,180
0,138,3.0,180
0,151,0.0,180
0,154,0.0,180
0,157,0.0,180
0,160,0.0,180
0,147,0.0,180
0,147,0.0,180
0,147,0.0,180
0,147,0.0,180
0,147,0.0,180
0,146,0.0,180
0,146,0.0,180
0,146,0.0,180
0,146,0.0,180
0,146,0.0,180
0,146,0.0,180
0,146,0.0,180
0,146,0.0,180
0,146,0.0,180
0,146,0.0,180
0,147,0.0,180
0,148,0.0,180
0,148,0.0,180
0,148,0.0,180
0,150,0.0,180
0,155,0.0,180
0,146,0.0,180
0,147,0.0,180
0,144,0.0,180
0,145,0.0,180
0,146,0.0,180
0,142,0.0,180
0,141,0.0,180
0,140,0.0,180
0,139,1.0,180
0,140,0.0,180
0,142,0.0,180
0,147,0.0,180
0,149,0.0,180
0,150,0.0,180
0,153,0.0,180
0,154,0.0,180
