,ID,sentences,datetime
154,"승기로운이승기@foreversg0113·Feb 25, 2022","승기로운이승기 @foreversg0113 · 이승기 완벽하지 않아도 돼

     Quote SBSNOW @SBSNOW · <써클 하우스> 1회 ""마음 건강 한마디"" 이벤트 
  참여 방법
첫 방송 본방 사수 후 가장 마음에 와닿는 한마디를 필수 해시태그와 함께 업로드 
  필수 해시태그
 #써클하우스   #챌린저스   #마음건강_한마디 
  참여 기간
~2월 25일[금] 오전 11시 59분 까지 
  자세히 보기
(SBS NOW 인스타) Show more 2",2022-02-24T16:04:23.000Z
155,"별빛달빛@yj6747·Feb 25, 2022","별빛달빛 @yj6747 ·      
'나의 마음을 아는' 주체적인 내가 되어야 한다.",2022-02-24T15:36:18.000Z
156,"다온@krmdaon·Feb 25, 2022","다온 @krmdaon · ""나의 마음을 아는, 주체적인 내가 되어야한다""

<어른이들의 비밀상담소 써클하우스> 첫 방송 1회를 보며 '피곤하긴 더 싫은 요즘연애' 이야기중 위 말이 가장 마음에 와닿는 한마디 였어요! 내맘을 확실히 알고 연인에게 표현할 필요가 있다고 딱 느꼈던요!

     1",2022-02-24T15:12:49.000Z
157,"SBSNOW@SBSNOW·Feb 24, 2022","SBSNOW @SBSNOW · ""너의 가능성을 믿어! ""
써클하우스 오은영 선생님이 보내는 편지 
어른이들 오늘 밤에 만나요 

SBS <어른이들의 비밀상담소 써클하우스> 
☞ 오늘 밤 9시 첫 방송

     
           8 127",2022-02-24T08:00:01.000Z
158,"SBSNOW@SBSNOW·Feb 24, 2022","SBSNOW @SBSNOW · <써클 하우스> 1회 ""마음 건강 한마디"" 이벤트 
  참여 방법
첫 방송 본방 사수 후 가장 마음에 와닿는 한마디를 필수 해시태그와 함께 업로드 
  필수 해시태그
     
  참여 기간
~2월 25일[금] 오전 11시 59분 까지 
  자세히 보기
(SBS NOW 인스타) Show more 4 63 222",2022-02-24T05:00:00.000Z
159,"나인스타즈@9Stars_news·Feb 24, 2022","나인스타즈 @9Stars_news · <써클하우스> 한가인, 첫 예능에 ＂남편 연정훈, '1박 2일'보다 덜 힘들 것이라 조언＂ (출처 : 나인스타즈 | 네이버 포스트)                      m.post.naver.com m.post.naver.com <써클하우스> 한가인, 첫 예능에 ""남편 연정훈, '1박 2일'보다 덜 힘들 것이라 조언"" <써클하우스> 한가인, 첫 예능에 ""남편 연정훈, '1박 2일'보다 덜 힘들 것이라 조언"" [BY 나인스타즈] [나인스타즈=박소연 기자] SBS ‘써클 하우스’ 한가인이 데뷔 이래 첫 고정 예능에 참여... [BY 나인스타즈] [나인스타즈=박소연 기자] SBS ‘써클 하우스’ 한가인이 데뷔 이래 첫 고정 예능에 참여...",2022-02-24T02:44:51.000Z
160,"SBSNOW@SBSNOW·Feb 23, 2022","SBSNOW @SBSNOW · 써클러들 사연에 푹 빠진 립제이!
이렇게 리액션 해준다면
하루 종일도 떠들 수 있어.. 

SBS <어른이들의 비밀상담소 써클하우스> 
☞ 2월 24일 [목] 밤 9시 첫 방송

     
             3 91 263",2022-02-23T07:00:00.000Z
161,"SBSNOW@SBSNOW·Feb 17, 2022","SBSNOW @SBSNOW · ""너는 누군가에게 큰 힘이 될 거야 ""
써클하우스 승기가 보내는 편지 

SBS <어른이들의 비밀상담소 써클하우스> 
☞ 2월 24일 [목] 밤 9시 첫 방송

     
           9 179 468",2022-02-17T08:00:00.000Z
162,"신림아방수@s___trangerr·Feb 14, 2022","신림아방수 @s___trangerr · 주제따라 그림 그리기2 - 운동

    ",2022-02-13T19:34:34.000Z
163,"엔다@entpdaramju·Feb 13, 2022",엔다 @entpdaramju · @entpdaramju     1,2022-02-13T04:26:16.000Z
164,"이승기 월드렌 (Lee Seung Gi Korea with World Airen)@LSG_korea·Feb 4, 2022","이승기 월드렌 (Lee Seung Gi Korea with World Airen) @LSG_korea ·             
     
 
[예고] ※오은영 마스터 상시 대기※ 금쪽 같은 어른이들의 비밀 상담소 OPEN★ㅣ써클 하우스(advice)ㅣSBS ENTER. youtube.com youtube.com [예고] ※오은영 마스터 상시 대기※ 금쪽 같은 어른이들의 비밀 상담소 OPEN★ㅣ써클 하우스(Circle House)ㅣ... [예고] ※오은영 마스터 상시 대기※ 금쪽 같은 어른이들의 비밀 상담소 OPEN★ㅣ써클 하우스(Circle House)ㅣ... 예　능 | 어른이들의 비밀상담소 ＜써클 하우스＞ 본방송 | 2022년 2월 24일 (목) 밤 9시SBS 목요일 예능 ‘써클 하우스’☞ 밤 9시 본 방송#써클하우스 #오은영 #챌린저스 Hompage : https://www.sbs.co.kr/tv/enter Subscribe SB... 예　능 | 어른이들의 비밀상담소 ＜써클 하우스＞ 본방송 | 2022년 2월 24일 (목) 밤 9시SBS 목요일 예능 ‘써클 하우스’☞ 밤 9시 본 방송#써클하우스 #오은영 #챌린저스  Hompage : https://www.sbs.co.kr/tv/enter  Subscribe SB... 6 28",2022-02-04T06:23:28.000Z
165,"SBSNOW@SBSNOW·Jan 26, 2022","SBSNOW @SBSNOW · [티저]
""힘들면 힘들다고 말해도 돼요"" 
함께 고민 나눌 여러분을
써클 하우스에서 기다립니다!

SBS <어른이들의 비밀상담소 써클하우스> 
☞ 2월 3일 [목] 밤 9시 첫 방송

     
           5 147 405",2022-01-26T05:00:01.000Z
166,"흑단이@ebonycat2016·Jan 16, 2022",흑단이 @ebonycat2016 · 이번때   랑 꼬라보 한고 ~~~~~ ㅇㅇ 3 3,2022-01-16T08:10:31.000Z
167,"공부하는아스@asu_studying·Jan 10, 2022","공부하는아스 @asu_studying · 
어떻게든 루틴을 만들어 보겠다는 마음
5만원...돌려받고 말겠어. 1",2022-01-10T01:23:08.000Z
168,"인푸@inpoo27542·Jan 4, 2022","인푸 @inpoo27542 · 오늘도 기상+외국어   성공~.~
  로 다들 같이 성장합시다 
아침에 못 일어나 놓친다구요?! 걱정마세요
제가 필기본 올려놓습니다
(물론 제가 일어났을 때만 하하) 3 10",2022-01-03T21:43:40.000Z
,,,
