word,freq
덜,110
실천하게,110
반복,109
권한,109
뜨는,109
몇,109
크게,109
떠,109
야,109
이뤘을때,109
지우고,108
한달,108
저녁,108
깐,108
필요해,108
주고,108
동기,108
뜨게,108
ㅎㅎㅎ,108
하단,107
무엇보다,107
나중,107
좋았어,107
기회,107
스스로,106
기종,106
동작,105
개인적,105
없으면,105
튕김,105
시작해,104
나이키,104
어제,104
사용한지,104
재설치,104
오히려,104
꽤,104
버,104
스토어,104
첼린저스,104
헬스장,103
힘든,103
첨,103
서버,103
개인,103
분야,103
인,103
검색,103
깔고,103
평균,103
이루면,103
져,102
어디,102
ㅜㅜ,102
느리고,102
없나,102
되었으면,102
자기,102
홈,102
뭔가,102
챌린,102
계기,102
꼬박꼬박,102
저장,101
저한테,101
오류나,101
장점,101
며칠,101
약통,101
갤러리,100
만든,100
고민,100
와이파이,100
짧게,100
일어나기,100
유지,99
최악,99
먹고,99
이룰,99
요새,99
실천할,99
앱인,98
나름,98
모아,98
분명,98
용,98
첼린지,98
가기,98
단점,97
굿굿,97
한두번,97
새벽,97
성격,97
동영상,96
연결,96
나오는,96
ㅋ,96
했,96
많아지고,96
늦게,96
인증할,96
얻,96
계정,95
맛,95
눈,95
무조건,95
천원,95
의미,95
태블릿,95
참가비,95
홈트,94
조절,94
재설치해,94
소소,94
아님,94
문제인,94
쉬운,93
않게,93
심,93
비슷,93
키우,93
아침시,93
뿐,93
빠르게,93
회사,93
수행,93
신고,93
쓰기,92
짜증,92
나머지,92
먹을때,92
전환,91
편하게,91
인터,91
의욕,91
해보고,91
편리하게,91
건의사항,91
아이디어,91
앱들,91
언제쯤,91
식습관,91
의견,91
무료,90
지원,90
향상,90
타,90
행동,90
퍼센트,90
규칙적인,90
추가상금,90
과정,89
횟수,89
답,89
쭉,89
짜증나,89
질,89
챌린져스,89
켜,88
금방,88
있으니까,88
추천인,88
자세,87
지웠다,87
발전,87
측정,87
생기,87
들어갈때,87
고쳐,87
싶습니다,87
중인,87
규정,87
기대,87
회,86
인생,86
않음,86
걸었다고,86
정,86
종류,85
손,85
많습니다,85
높,85
각,85
별점,85
혼자서,85
바뀌,85
어플들,85
생겼습니다,85
일석이조,85
반영,84
보통,84
먹통,84
모르겠어,84
시도,84
올리고,84
부여,84
보내고,84
도전할,84
처럼,83
좋은어플,83
없습니다,83
이걸,83
중요,83
했습니다,83
개설,83
않네,82
굳,82
줘,82
알려주세,82
편해,82
배,81
꺼져,81
아쉬운,81
않나,81
카드,81
인증가능,81
강제,81
내일,81
다운,80
나면,80
인증방법,80
세우고,80
이용해,80
도와주,80
고치고,80
주면,79
힘들,79
아쉽네,79
부족,79
예,79
일일,79
스크롤,79
스트레스,79
개발자님,79
인식,79
물마시기,79
있지,79
좋았어요,79
참가,79
ㅜ,78
서,78
막,78
있을,78
운영,78
상품,78
온통,78
연타,78
메인화면,78
의지박약인,78
작은습관,78
있었고,78
개선되,78
지난,77
본질,77
해야지,77
캐시,77
신속,77
발로란트,77
좋을,76
다운로드,76
싶다,76
나서,76
재미있게,76
보내,76
어쩔,76
튕기,76
만드는,76
목표치,76
보게,76
안됨,75
같음,75
뜹니다,75
제공,75
그러나,75
삭제후,75
방금,75
어떤거,75
와,75
키우기,75
달성했,75
후기,75
들,75
걸면,75
눌러야,74
중간중간,74
즐겁게,74
패턴,74
하얀,74
좋겠네요,74
사소,74
것인지,74
심해,74
광고창,74
보낼,74
빼고,73
너무너무,73
좀더,73
알고,73
받을수,73
보이는,73
공부습관,73
앱이었는,73
겪,73
아무,73
바뀐,73
쓰는,72
알려주면,72
안되나,72
재밌게,72
스마트폰,72
반,72
초기화,72
좋은것,72
귀차니즘,72
중단,72
부탁드려,72
다반사,72
몰,72
다르게,72
적어,71
해주세요,71
단위,71
적당,71
열리지,71
네,71
최소,71
한눈,71
설정해,71
__,71
거나,70
충분,70
만,70
지는,70
여러개,70
환경,70
싶었는,70
새해,70
사진찍어,70
하던,69
위주,69
여러분,69
첫날,69
항목,69
만드,69
생기면,69
기다려야,69
리워드,69
로딩시간,69
힘들었는,69
챌린저스라,69
해내,69
며,68
주기,68
제한,68
이루고,68
추천드립니다,68
만보걷기,68
강제성,68
잡고,68
안되면,67
뭘,67
정확,67
어려운,67
회원가입,67
종종,67
움직이게,67
있나,67
데ㅠㅠ,67
간식,67
현금처럼,67
생기게,67
초반,66
똑,66
이용할,66
변,66
했고,66
해보면,66
실행력,66
천보,66
보내게,66
씁니다,66
이뤘,66
온,66
아이폰,65
아무것,65
잦아,65
정해진,65
싶어요,65
보내면,65
추가되면,65
곳,65
귀여워,65
은행,65
광,65
의지력,65
경고,65
의지박약,65
강,64
찾아,64
주간,64
없다,64
듯,64
시일내,64
했더니,64
집중,64
뭔지,64
다운받았는,64
탈퇴,64
꺼지고,64
들고,64
싶네,64
인스타,64
요ㅎㅎ,64
귀찮아,64
그러려니,64
벌금,64
드립니다,63
보여,63
생깁니다,63
계획적,63
몇달,63
생긴,63
이만,63
복구,63
개선되면,63
잡으,63
많구,63
이하,63
제거,63
벌,63
다짐,63
목록,62
불편함,62
ㅠㅜ,62
자극,62
떴으면,62
잔뜩이네여,62
바꿨는데,62
화면에,62
갓생몬에,62
투두,62
작성해가고,62
해결할,62
알려주시고,62
찍으려는,62
뒤로가기버튼,62
뭐든,62
우연,62
팀,62
떨어져,61
찾기,61
목표의식,61
그러다,61
불쾌,61
인증찍고나,61
보이지않아,61
사진찍을,61
빛반사,61
아니게,61
주기능,61
퇴화,61
할일,61
설,60
받으면,60
모르고,60
멈춰,60
됐는,60
걍,60
쉽지,60
절대,60
끝나,60
사,60
재밌,60
공식,60
달성자,60
미라클모닝,60
주니,60
줍니다,59
어줘,59
에러,59
훌륭,59
쓰게,59
짤려,59
문구,59
초창기,59
한다고,59
암튼,59
인증패스,59
번씩,59
아침기상,59
많았는,59
올리,58
것보다,58
했던,58
괜찮아,58
진화,58
순,58
깔았는,58
채팅,58
올린,58
작성,58
보였으면,58
소소하게,58
난,58
긍정적,58
증상,58
책읽기,58
확,58
들어갔는,58
해낼,58
기억,58
노력하게,58
와이파,58
부족해,58
길어,58
활력,58
나태해진,58
주니까,58
길지,58
찾다,58
안될까,57
유익,57
좋은앱,57
아무런,57
헬스,57
봅니다,57
사용해보고,57
용돈,57
들어와,57
앱테크,57
깜빡,57
게을러,57
보증금,57
납니다,56
설정할,56
다양해,56
메모,56
개발자,56
토스,56
달라지,56
구경,56
습관적,56
엉망,56
해내고,56
느낌이,56
메인,56
켜야,56
시작하게,56
받기,56
걸어야,56
본인,55
얼마나,55
느끼고,55
건강하게,55
했었는,55
로그아웃,55
것처럼,55
실제,55
좋아용,55
네이버,55
남깁니다,55
한다,55
까먹어,55
번째,55
간편,55
이미지,55
커,55
는건,55
최근들어,55
보지,55
계획적인,55
정사각형,55
정작,55
보리차,55
코리아,55
시작하,54
이동,54
카톡,54
ㅋㅋㅋㅋ,54
대체,54
좋겠음,54
측,54
총,54
받을,54
사용하게,54
뜸,54
탭,54
똑같,54
지나,54
허용,54
통,54
극복,54
응원,54
앱인거,54
비번,53
부탁드려요,53
활용,53
체중,53
힘들어,53
밑,53
메세지,53
모르겠음,53
편할,53
단순,53
공개,53
꺼야,53
대학생,53
닫기,53
달성하게,53
타이밍,53
눌리고,53
번거롭네,53
수익,53
지지,53
아무리,52
가까,52
음,52
됐어,52
생겼으면,52
가치,52
긍정적인,52
찍어야,52
인증시간,52
으쌰으쌰,52
트레이닝,51
같다,51
효과적,51
있답니다,51
촬영,51
그렇다고,51
비용,51
제게,51
달성해,51
아이콘,50
긴,50
완벽,50
애매,50
얻고,50
스탬프,50
기록할,50
나갔다,50
외,50
해주셨으면,50
알겠,50
최대,50
검토,50
껐다켰다,50
못했던,50
키면,50
시기상,50
넣어,49
써봤는,49
오고,49
접근성,49
아쉬운점,49
아무튼,49
목표설정,49
키보드,49
있었던,49
번창하세요,49
이러면,49
마시기,49
확실하게,49
도전하게,49
의도,49
안될,49
실망,49
결심,49
모닝,49
껐다,48
깔끔하게,48
실수,48
느낄,48
운동할,48
좋구,48
선,48
그건,48
주세,48
적극,48
기본,48
많이,48
안하게,48
지인들,48
