,ID,sentences,datetime
0,"차차@stillaliveor·Dec 18, 2023","차차 @stillaliveor · @stillaliveor  12월 상금출금 

- 아직 한 주 남았지만 다음주는 끝날게 없어서 미리마감!
- 이번달은 21,000원 출금
- 때려칠까 하다가도 또 출금 때되면 에휴 하자싶음
- 그걸 반복해서 이렇게 1년간의 타래를 완성하게 되었다
- 1년간 대단히도 수고가 많았다 나야! 219",2023-12-18T14:44:17.000Z
1,"차차@stillaliveor·Dec 1, 2023","차차 @stillaliveor · @stillaliveor  11월 상금출금 

- 이번달은 18,000원 출금!
- 하도 정신이 없어서 냅다 인증만 열심히 했다
- 이제 올해도 한 달 밖에 안남았는데 마지막 달까지 꾸준히 해서 일년타래 채워내야지 1 1 314",2023-11-30T16:35:44.000Z
2,"차차@stillaliveor·Nov 1, 2023","차차 @stillaliveor · @stillaliveor  10월 상금출금 

- 이번달 아깝게 15,000원 출금
- 한동안 주식 안모았더니 예수금이 이만큼 모였다
- 1월부터 시작된 타래가 10월까지 왔다니 1 295",2023-11-01T14:19:33.000Z
3,"차차@stillaliveor·Sep 25, 2023","차차 @stillaliveor · @stillaliveor  9월 상금출금 

- 이번달도 15,000원 출금
- 이번주 헬스장 문여는 날이 며칠 없길래 
 이번주는 안하려고 했는데 상금보니 안가면 
 다음달은 더 적어질 것 같아서 고민이네ㅜㅜ
- 그리고 누적상금 20만원 돌파 1 427",2023-09-25T12:02:49.000Z
4,"차차@stillaliveor·Aug 28, 2023","차차 @stillaliveor · @stillaliveor  8월 상금출금 

- 이번 달은 15,000원 출금
- 챌린저스 전체적으로 상금이 적어진듯?
- 평소랑 똑같이 했지만 전체적으로 줄어들었음
- 그래도 갚진 예수금이 되어줄 것 2 1 729",2023-08-28T08:36:11.000Z
5,"K@LESBOSS_K·Aug 20, 2023",K @LESBOSS_K · @LESBOSS_K 중간에 폰 잃어버렸다 찾아서 완전히 잊고 있었는데 갑자기 생각남!!! 3천원 단위 출금 가능인데 딱 1.8 있네ㅋㅋㅋ 바로 계좌에 들어오는거였다 기한 만료되기 전에 출금 완   183,2023-08-20T14:36:33.000Z
6,"Hanwha Life Esports@HLEofficial·Aug 7, 2023","Hanwha Life Esports @HLEofficial · 응애생명 플레이오프 2R 진출! 
HLE CL advanced to the 2nd round of the LCK CL summer playoffs! 
       2 44 79 11K",2023-08-07T07:39:47.000Z
7,"차차@stillaliveor·Jul 3, 2023","차차 @stillaliveor · @stillaliveor  6월 상금출금 

- 똑같이 열심히 했는데 이번주는 15,000원 
- 그래서 이번 주부터 두 개 더 늘린다 
- 난 더 열심히 한다!!!!! 알겟냐!!!!! !!!!!(?) 1 1 341",2023-07-03T10:13:16.000Z
8,"allcon(올콘)@allcon_tests·Jul 3, 2023","allcon(올콘) @allcon_tests ·           
자동차 산업, 모터스포츠에 관심 많은 대학생과 콘텐츠 크리에이터들 모두 여기로 
매월 주어진 미션 키워드로 기획 기사, 바이럴 콘텐츠 제작!
소정의 활동비와 수료증, 실무자와의 멘토링 기회까지 
 90",2023-07-03T06:51:32.000Z
9,"인사이트@insight_co_kr·Jun 26, 2023","인사이트 @insight_co_kr · '톰홀랜드 여친' 젠데이아가 침실에서 남자 2명과 키스하는 영상 공개됐다

         ‘톰홀랜드 여친’ 젠데이아가 침실에서 남자 2명과 키스하는 영상 공개됐다 1 2 1.2K",2023-06-25T23:50:33.000Z
10,"Warner Bros. Korea@WarnerBrosKorea·Jun 21, 2023","Warner Bros. Korea @WarnerBrosKorea · 올가을 코트 위에서 펼쳐지는 가장 매혹적인 경쟁! 
  감독
  X   X  

& >  240 94 39K",2023-06-21T01:00:00.000Z
11,"잡스의 독서노트@4freedev·Jun 3, 2023",잡스의 독서노트 @4freedev · 아침 6시일어나기 2주성공 상금 1851원      81,2023-06-03T08:14:38.000Z
12,"인천게임문화포털@icngame·May 31, 2023","인천게임문화포털 @icngame · [Weekly Game Portal] 승격팀이 최종 4위! 지금까지 인천
  였습니다.  앞으로도 많관부!!

                    2 539",2023-05-31T03:19:13.000Z
